panel_group,panel_name,chart_type,source,metric
System Health,Round completion rate,gauge/bar,global_weights_history_*,reliability.round_completion.rate
System Health,Gateway participation,bar,model_metrics_gateway_*,reliability.gateway_participation.rate
Transport,Latency p95 by channel,bar,ascon_metrics_CNN_FOG_*,transport.*.p95_ms
Transport,Payload overhead by channel,bar,ascon_metrics_CNN_FOG_*,transport.payload.overhead.avg_bytes
Local Training,Local accuracy by gateway,line,model_metrics_gateway_*,training.local.accuracy.avg
Local Training,Gateway skew,line,model_metrics_gateway_*,training.gateway.*.skew.avg
Global Convergence,Global accuracy and loss,line,global_weights_history_*,round.global.*
Global Convergence,Weight drift,line,global_weights_history_*,round.weight_drift.avg
Fog Layer,Leader fog_fedavg accuracy and loss,line,model_metrics_gateway_*,fog.preaggregation.*
Data Quality,Class mix by gateway,stacked_bar,ascon_metrics_CNN_FOG_gateway_*,data.class_mix.share
