experiment,architecture,security,topology,mode,attempt_id,attempt_key,attempt_dir,transport_files,model_metric_files,global_history_files,csv_files_total,pdf_files
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#1,3,2,1,6,0
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#2,3,2,1,6,0
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#3,3,2,1,6,0
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#4,3,2,1,6,0
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#5,3,2,1,6,0
CNN_ASCON,CNN,ASCON,standard,ascon,6,CNN_ASCON#6,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#6,3,2,1,6,0
CNN_ASCON,CNN,ASCON,standard,ascon,7,CNN_ASCON#7,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#7,3,2,1,6,0
CNN_ASCON,CNN,ASCON,standard,ascon,8,CNN_ASCON#8,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#8,3,2,1,6,0
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,CNN_FOG_ASCON#2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#2,3,2,1,6,0
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,CNN_FOG_ASCON#3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#3,3,2,1,6,0
