experiment,architecture,security,topology,mode,attempt_id,device_suffix,class_name,samples_seen,pct_within_gateway_attempt
CNN_ASCON,CNN,ASCON,standard,ascon,1,gateway_A,unknown,663,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,gateway_B,unknown,688,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,2,gateway_A,unknown,661,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,2,gateway_B,unknown,661,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,3,gateway_A,unknown,661,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,3,gateway_B,unknown,662,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,4,gateway_A,unknown,663,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,4,gateway_B,unknown,664,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,5,gateway_A,unknown,660,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,5,gateway_B,unknown,661,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,6,gateway_A,unknown,669,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,6,gateway_B,unknown,661,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,7,gateway_A,unknown,661,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,7,gateway_B,unknown,661,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,8,gateway_A,unknown,659,100.0
CNN_ASCON,CNN,ASCON,standard,ascon,8,gateway_B,unknown,661,100.0
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,gateway_A,mqtt_bruteforce,52,7.4074074074074066
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,gateway_A,normal,492,70.08547008547008
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,gateway_A,scan_A,58,8.262108262108262
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,gateway_A,unknown,100,14.245014245014245
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,gateway_B,mqtt_bruteforce,48,7.2617246596066565
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,gateway_B,normal,504,76.2481089258699
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,gateway_B,scan_A,49,7.413010590015129
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,gateway_B,unknown,60,9.07715582450832
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,gateway_A,mqtt_bruteforce,59,8.428571428571429
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,gateway_A,normal,499,71.28571428571429
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,gateway_A,scan_A,42,6.0
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,gateway_A,unknown,100,14.285714285714285
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,gateway_B,mqtt_bruteforce,52,7.854984894259818
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,gateway_B,normal,499,75.37764350453172
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,gateway_B,scan_A,51,7.7039274924471295
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,gateway_B,unknown,60,9.06344410876133
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,4,gateway_A,mqtt_bruteforce,51,7.275320970042796
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,4,gateway_A,normal,490,69.90014265335235
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,4,gateway_A,scan_A,60,8.559201141226819
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,4,gateway_A,unknown,100,14.265335235378032
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,4,gateway_B,normal,604,90.96385542168674
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,4,gateway_B,unknown,60,9.036144578313253
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,5,gateway_A,mqtt_bruteforce,54,7.584269662921349
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,5,gateway_A,normal,508,71.34831460674157
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,5,gateway_A,scan_A,50,7.02247191011236
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,5,gateway_A,unknown,100,14.04494382022472
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,5,gateway_B,normal,620,91.17647058823529
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,5,gateway_B,unknown,60,8.823529411764707
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,6,gateway_A,mqtt_bruteforce,132,18.75
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,6,gateway_A,normal,370,52.55681818181818
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,6,gateway_A,scan_A,102,14.488636363636365
