experiment,architecture,security,topology,mode,attempt_id,attempt_key,rounds_observed,first_round,last_round,round_completion_rate,last_global_accuracy,best_global_accuracy,avg_global_accuracy,last_global_loss,min_global_loss,avg_global_loss,avg_round_duration_sec,p95_round_duration_sec,max_round_duration_sec,avg_w3_mag_drift,avg_w4_normal_drift,avg_w4_brute_drift,avg_w4_scan_drift
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,20,1,20,0.6666666666666666,0.983333,1.0,0.9499999500000001,0.062082,0.046373,0.15345000000000003,59.526315789473685,61.79999999999998,69.0,0.0023897894736842167,0.005454368421052636,0.004921578947368432,0.004801473684210525
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,20,1,20,0.6666666666666666,0.983333,1.0,0.9441668,0.034544,0.034544,0.1908857,58.63157894736842,59.39999999999999,63.0,0.003730842105263161,0.010882263157894733,0.006445842105263158,0.010569157894736845
CNN_ASCON,CNN,ASCON,standard,ascon,3,CNN_ASCON#3,20,1,20,0.6666666666666666,0.95,1.0,0.9508333,0.12126,0.035118,0.18645735000000002,58.73684210526316,60.39999999999999,64.0,0.0037059473684210556,0.0120548947368421,0.004897789473684197,0.009021000000000001
CNN_ASCON,CNN,ASCON,standard,ascon,4,CNN_ASCON#4,20,1,20,0.6666666666666666,1.0,1.0,0.96999995,0.034302,0.013726,0.10023025,58.94736842105263,61.3,64.0,0.002605999999999997,0.008648894736842109,0.0032948421052631603,0.007358000000000008
CNN_ASCON,CNN,ASCON,standard,ascon,5,CNN_ASCON#5,20,1,20,0.6666666666666666,0.983333,1.0,0.9683334000000002,0.025146,0.017622,0.11706999999999998,58.89473684210526,60.3,63.0,0.002972631578947367,0.0071457894736841904,0.003597842105263155,0.0059060000000000015
CNN_ASCON,CNN,ASCON,standard,ascon,6,CNN_ASCON#6,20,1,20,0.6666666666666666,0.883333,1.0,0.9483333500000001,0.288282,0.048005,0.16840384999999997,59.78947368421053,64.39999999999999,68.0,0.003429473684210526,0.0110063157894737,0.005202947368421055,0.007654263157894739
CNN_ASCON,CNN,ASCON,standard,ascon,7,CNN_ASCON#7,20,1,20,0.6666666666666666,0.966667,0.966667,0.8908333,0.118696,0.118696,0.25787784999999996,58.68421052631579,60.199999999999996,62.0,0.0021492105263157843,0.005115315789473686,0.004441473684210521,0.005956894736842095
CNN_ASCON,CNN,ASCON,standard,ascon,8,CNN_ASCON#8,20,1,20,0.6666666666666666,0.933333,1.0,0.875,0.147536,0.05204,0.29046445000000004,58.526315789473685,60.199999999999996,62.0,0.0024977368421052644,0.005094263157894717,0.006108631578947377,0.005703105263157885
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,2,CNN_FOG_ASCON#2,20,1,20,0.6666666666666666,0.95,1.0,0.9433332999999999,0.127952,0.035616,0.18735739999999998,58.63157894736842,60.39999999999999,64.0,0.008966578947368423,0.016531894736842107,0.020654263157894728,0.023428631578947357
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,3,CNN_FOG_ASCON#3,20,1,20,0.6666666666666666,0.95,1.0,0.9249998999999999,0.140719,0.094782,0.25384059999999997,58.94736842105263,64.1,65.0,0.007977157894736846,0.01458021052631579,0.02022836842105263,0.01964021052631578
