experiment,architecture,security,topology,mode,device_suffix,stage,rows,rounds_seen,avg_num_samples,avg_accuracy,std_accuracy,min_accuracy,max_accuracy,avg_loss,std_loss,min_loss,max_loss,avg_buffer_target
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_A,local_train,160,20,30.0,0.924583325535059,0.0690699609786421,0.6333333253860474,1.0,0.2153837410267442,0.14943332331461306,0.0265829004347324,0.7180111408233643,30.0
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_B,local_train,160,20,30.0,0.9497916623950005,0.07564508434926041,0.6000000238418579,1.0,0.15082606824253159,0.177691619031427,0.0005905439611524,0.8567329049110413,30.0
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_A,local_train,120,20,30.0,0.9133333265781403,0.08524474304991025,0.6666666865348816,1.0,0.239201790606603,0.1673349437441167,0.0154309570789337,0.8189403414726257,30.0
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_B,local_train,120,20,30.0,0.946111107369264,0.07317955145338474,0.6333333253860474,1.0,0.18574605736527394,0.20728174115241696,0.0003860619617626,0.8445013761520386,30.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_fog_leader,local_train,64,20,30.0,0.8749999925494194,0.07546153544022834,0.6666666865348816,1.0,0.34727729042060673,0.18284927157634187,0.0695655271410942,0.781461775302887,30.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_fog_peer,local_train,62,20,30.0,0.9204301026559645,0.09825627361792347,0.5333333611488342,1.0,0.22050602814265255,0.20731582024049652,0.0009950411040335,0.8171405792236328,30.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_A,local_train,61,20,30.0,0.88415299771262,0.08633533514905203,0.699999988079071,1.0,0.3490922188111504,0.21194915775734488,0.0271787252277135,0.8346434235572815,30.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_B,local_train,62,20,30.0,0.9112903187351842,0.10088205091488407,0.6333333253860474,1.0,0.2458955549632411,0.23520242835625463,0.0001058505367836,0.7572230100631714,30.0
RN_ASCON,RN,ASCON,standard,ascon,gateway_A,local_train,297,30,30.0,0.910213236054186,0.07758797768328042,0.6666666865348816,1.0,0.23853674261620647,0.19321563759588598,0.0034187291748821,1.03693687915802,30.0
RN_ASCON,RN,ASCON,standard,ascon,gateway_B,local_train,299,30,30.0,0.92530657336066,0.0855320242574088,0.5666666626930237,1.0,0.20100068106677343,0.22021911329152474,0.0029435888864099,1.124006986618042,30.0
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_A,local_train,100,20,30.0,0.908333323597908,0.08344991784828637,0.6333333253860474,1.0,0.2557541485503316,0.22844431392424314,0.0123705631121993,1.159526824951172,30.0
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_B,local_train,100,20,30.0,0.945666663646698,0.0951787775209047,0.6000000238418579,1.0,0.14986936847912144,0.23329132026156751,0.0029422061052173,1.081785798072815,30.0
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,gateway_A,local_train,60,20,30.0,0.876666663090388,0.10720350541644687,0.5333333611488342,1.0,0.2992433309865495,0.2430852581191094,0.0133437160402536,1.0673388242721558,30.0
RN_FOG_NO_ASCON,RN,NO_ASCON,fog,plain,gateway_B,local_train,60,20,30.0,0.9622222165266673,0.06425259029719294,0.7333333492279053,1.0,0.12764412201941008,0.21033597695627407,0.0032318043522536,0.925343930721283,30.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,gateway_A,local_train,290,30,30.0,0.8970114882650047,0.08687130754486112,0.5,1.0,0.2809609809729816,0.24003722880480766,0.0102691603824496,1.443485975265503,30.0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,gateway_B,local_train,289,30,30.0,0.93564013337594,0.08348005318424881,0.5666666626930237,1.0,0.18156884213471236,0.21689820694861728,0.0020053451880812,1.193205714225769,30.0
