experiment,architecture,security,topology,mode,attempt_id,attempt_key,round_ref,global_accuracy,global_loss,round_duration_sec,local_gateway_count,local_train_events,local_accuracy_avg,local_loss_avg,local_samples_total,fog_fedavg_events,fog_accuracy_avg,fog_loss_avg,edge_rpi_events,edge_rpi_p95_ms,edge_rpi_avg_wire_bytes,rpi_pc_events,rpi_pc_p95_ms,rpi_pc_avg_wire_bytes,pc_rpi_events,pc_rpi_p95_ms,pc_rpi_avg_wire_bytes,total_transport_events,total_transport_p95_ms
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,1,0.833333,0.560312,,2.0,2.0,0.8333333134651184,0.5603121817111969,60.0,,,,79.0,4.4024,231.53164556962025,2,42.968399999999995,4992.0,1,14.202,4834.0,86,28.814749999999997
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,2,0.9,0.334868,69.0,2.0,2.0,0.9000000059604645,0.33486805111169815,60.0,,,,66.0,4.8605,232.75757575757575,2,35.597300000000004,4986.0,1,16.349,4850.0,75,33.88
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,3,0.95,0.236378,58.0,2.0,2.0,0.949999988079071,0.23637763224542138,60.0,,,,60.0,4.435,231.8,2,14.178199999999999,4962.0,1,12.044,4818.0,69,33.91199999999999
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,4,0.916667,0.244712,59.0,2.0,2.0,0.9166666567325592,0.24471170268952844,60.0,,,,60.0,4.60035,230.66666666666666,2,18.095299999999998,4962.0,1,11.771,4842.0,69,33.791599999999995
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,5,0.95,0.165856,60.0,2.0,2.0,0.949999988079071,0.1658560894429683,60.0,,,,60.0,4.7311,232.6,2,17.309549999999998,4982.0,1,10.227,4834.0,69,35.901999999999994
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,6,0.933333,0.126774,61.0,2.0,2.0,0.9333333373069763,0.12677437113597984,60.0,,,,60.0,4.501899999999999,228.93333333333334,2,15.80405,4974.0,1,21.878,4814.0,69,35.644999999999996
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,7,0.95,0.141069,59.0,2.0,2.0,0.949999988079071,0.14106948976404965,60.0,,,,60.0,4.653849999999999,230.86666666666667,2,17.7769,4974.0,1,25.641,4810.0,69,30.907799999999995
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,8,0.983333,0.072004,59.0,2.0,2.0,0.9833333194255829,0.0720035424456,60.0,,,,60.0,4.5925,232.86666666666667,2,15.59625,4984.0,1,12.349,4798.0,69,34.079599999999985
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,9,0.983333,0.062773,58.0,2.0,2.0,0.9833333194255829,0.06277252384461454,60.0,,,,60.0,4.4736,230.6,2,12.16695,4960.0,1,10.57,4818.0,69,32.4148
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,10,0.966667,0.096664,59.0,2.0,2.0,0.9666666686534882,0.09666421648580581,60.0,,,,60.0,4.4282,231.26666666666668,2,30.1248,4962.0,1,10.589,4810.0,69,32.464999999999996
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,11,0.95,0.083759,59.0,2.0,2.0,0.949999988079071,0.08375869347946716,60.0,,,,60.0,4.61635,230.86666666666667,2,13.26475,4968.0,1,16.18,4814.0,69,33.85319999999999
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,12,0.983333,0.069683,59.0,2.0,2.0,0.9833333194255829,0.06968287413474165,60.0,,,,60.0,4.35025,229.6,2,13.39355,4966.0,1,12.573,4802.0,69,34.313799999999986
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,13,0.916667,0.178444,59.0,2.0,2.0,0.9166666567325592,0.1784435940207913,60.0,,,,60.0,4.44195,229.8,2,12.88,4980.0,1,14.807,4834.0,69,36.10779999999998
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,14,0.966667,0.101387,59.0,2.0,2.0,0.9666666686534882,0.10138652694877234,60.0,,,,60.0,4.57785,230.46666666666667,2,11.736650000000001,4960.0,1,10.311,4814.0,69,35.62899999999999
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,15,1.0,0.046373,59.0,2.0,2.0,1.0,0.04637299902969965,60.0,,,,60.0,4.4945,228.46666666666667,2,17.80495,4952.0,1,10.814,4810.0,69,37.184199999999976
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,16,0.933333,0.211619,59.0,2.0,2.0,0.9333333373069763,0.211618919391185,60.0,,,,60.0,4.57105,232.06666666666666,2,11.09525,4952.0,1,12.52,4826.0,69,32.2174
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,17,1.0,0.059405,59.0,2.0,2.0,1.0,0.05940493819070975,60.0,,,,60.0,4.65835,231.13333333333333,2,12.2005,4962.0,1,13.283,4830.0,69,31.22839999999999
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,18,0.966667,0.109322,59.0,2.0,2.0,0.9666666686534882,0.10932217972003849,60.0,,,,60.0,4.607,233.53333333333333,2,11.82615,4966.0,1,10.71,4810.0,69,32.68479999999999
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,19,0.933333,0.105516,58.0,2.0,2.0,0.9333333373069763,0.1055155076028313,60.0,,,,60.0,4.3543,231.06666666666666,2,14.904349999999999,4968.0,1,10.65,4806.0,69,31.515799999999995
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,20,0.983333,0.062082,59.0,2.0,2.0,0.9833333194255829,0.0620817261515185,60.0,,,,60.0,4.512099999999999,231.13333333333333,2,28.357100000000003,4970.0,1,17.251,4798.0,69,33.215799999999994
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,1,0.966667,0.434208,,2.0,2.0,0.9666666388511658,0.43420775234699244,60.0,,,,65.0,4.4323999999999995,234.47692307692307,2,12.95265,4998.0,1,21.806,4838.0,72,25.811900000000026
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,2,1.0,0.14287,55.0,2.0,2.0,1.0,0.14286974072456354,60.0,,,,57.0,4.542,233.98245614035088,2,46.29465,4976.0,1,11.244,4834.0,66,33.67325
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,3,1.0,0.041273,63.0,2.0,2.0,1.0,0.041273392736911746,60.0,,,,63.0,4.4269,234.0793650793651,2,27.735599999999998,4980.0,1,13.408,4846.0,72,34.00595
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,4,0.866667,0.443251,59.0,2.0,2.0,0.8666666448116302,0.44325073808431625,60.0,,,,56.0,4.407,232.85714285714286,2,14.9037,4992.0,1,12.006,4846.0,65,33.461999999999996
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,5,0.816667,0.534879,58.0,2.0,2.0,0.8166666626930237,0.5348785370588303,60.0,,,,60.0,4.492649999999999,232.33333333333334,2,13.99845,4984.0,1,12.689,4854.0,69,34.0034
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,6,0.866667,0.291697,58.0,2.0,2.0,0.8666666746139526,0.2916973605751991,60.0,,,,60.0,4.6591,232.6,2,11.18,4988.0,1,12.324,4838.0,69,32.28199999999999
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,7,0.9,0.266643,59.0,2.0,2.0,0.9000000059604645,0.26664305478334427,60.0,,,,60.0,4.6553499999999985,231.86666666666667,2,10.83255,4976.0,1,10.256,4834.0,69,33.465399999999995
