experiment,architecture,security,topology,mode,source_scope,device_suffix,channel,operation,events,avg_ms,p50_ms,p95_ms,p99_ms,max_ms,std_ms,avg_payload_plain_bytes,avg_payload_wire_bytes,avg_overhead_bytes,avg_overhead_pct,avg_expansion_ratio
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_transport,gateway_A,ESP32->RPi,decrypt,4819,2.96679311060386,3.586,4.5,4.887639999999999,9.972,1.3198654033142938,114.2415438887736,230.51483710313343,116.27329321435982,102.22791148153199,2.02227911481532
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_transport,gateway_B,ESP32->RPi,decrypt,4841,3.4251840528816357,3.968,4.61,4.9924000000000035,8.827,1.1978415481653797,115.27907457136955,231.94649865730221,116.66742408593265,101.50732544950719,2.015073254495072
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_transport,gateway_A,PC->RPi,decrypt,159,35.24054716981132,32.439,65.80979999999997,88.42797999999992,98.466,11.616075298031433,3553.7421383647797,4821.547169811321,1267.8050314465409,35.67523632979257,1.3567523632979257
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_transport,gateway_B,PC->RPi,decrypt,159,48.93579245283019,33.317,91.61969999999998,98.12574,99.148,23.74113705454014,3553.7924528301887,4821.622641509434,1267.8301886792453,35.67543905953203,1.3567543905953203
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_transport,gateway_A,RPi->ESP32,encrypt,159,34.37207547169811,33.545,37.9103,56.16032,73.811,4.5838629784958425,3553.7421383647797,4821.547169811321,1267.8050314465409,35.67523632979257,1.3567523632979257
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_transport,gateway_B,RPi->ESP32,encrypt,159,36.68171698113208,34.308,54.410799999999995,57.045439999999985,58.174,6.622955249785026,3553.7924528301887,4821.622641509434,1267.8301886792453,35.67543905953203,1.3567543905953203
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_transport,gateway_A,RPi->PC,encrypt,160,36.5099875,35.968,42.70819999999999,55.620979999999946,84.408,5.3304230823963445,3656.725,4958.85,1302.125,35.609063658217934,1.3560906365821794
CNN_ASCON,CNN,ASCON,standard,ascon,gateway_transport,gateway_B,RPi->PC,encrypt,160,36.2193,35.805499999999995,41.70984999999999,44.38997,44.825,2.3450182110167077,3652.21875,4952.975,1300.75625,35.615523147973036,1.3561552314797303
CNN_ASCON,CNN,ASCON,standard,ascon,server_transport,Asus,PC->RPi,encrypt,160,16.11174375,12.7895,23.787449999999986,37.30280999999997,318.303,24.44132062953199,3553.7375,4821.55,1267.8125,35.6754929532802,1.3567549295328019
CNN_ASCON,CNN,ASCON,standard,ascon,server_transport,Asus,RPi->PC,decrypt,320,14.769178125,11.639,31.126450000000006,44.53813,106.684,9.220969177106413,3654.471875,4971.9125,1317.440625,36.050117227694514,1.3605011722769451
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_A,ESP32->RPi,decrypt,3620,2.6831953038674032,1.6975,4.539,4.95862,7.974,1.3611397820692546,114.1,230.32154696132596,116.22154696132597,102.33971038040045,2.023397103804004
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_B,ESP32->RPi,decrypt,3633,3.0245356454720618,3.738,4.5614,4.985039999999999,11.974,1.3289457346549403,114.88879713735206,231.41343242499312,116.52463528764106,101.78956635835273,2.0178956635835275
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_A,PC->RPi,decrypt,120,34.05094166666667,33.497,37.96744999999999,45.815290000000005,52.255,2.9485035223986458,3567.016666666667,4839.466666666666,1272.45,35.67273068672163,1.3567273068672163
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_A,RPi->ESP32,encrypt,120,35.17859166666666,34.5535,38.01925,46.82465000000001,78.08,4.519735806246189,3567.016666666667,4839.466666666666,1272.45,35.67273068672163,1.3567273068672163
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_B,RPi->ESP32,encrypt,120,37.43683333333333,35.1425,56.111799999999995,75.83647000000005,81.686,8.059852360448188,3567.016666666667,4839.466666666666,1272.45,35.67273068672163,1.3567273068672163
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_A,RPi->PC,encrypt,120,38.429575,36.796499999999995,44.795399999999994,77.15948000000002,106.205,8.480055176375622,3682.891666666667,4993.866666666667,1310.975,35.59639716552333,1.3559639716552332
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_B,RPi_leader->RPi_peer,decrypt,120,47.365916666666664,34.647999999999996,92.86965,99.92054,103.115,22.96787511416157,3567.016666666667,4839.466666666666,1272.45,35.67273068672163,1.3567273068672163
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_A,RPi_leader->RPi_peer,encrypt,120,34.83955,34.6915,38.87115,41.3002,45.281,2.448125207344047,3567.016666666667,4839.466666666666,1272.45,35.67273068672163,1.3567273068672163
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_A,RPi_peer->RPi_leader,decrypt,120,44.14641666666667,36.201499999999996,87.18539999999999,97.05725,99.171,18.059483956074775,3664.3083333333334,4969.2,1304.8916666666667,35.61092123512055,1.3561092123512055
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,gateway_transport,gateway_B,RPi_peer->RPi_leader,encrypt,120,37.46799166666666,37.058,43.6988,50.32499000000001,54.778,3.3446244993417755,3664.3083333333334,4969.2,1304.8916666666667,35.61092123512055,1.3561092123512055
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,server_transport,Asus,PC->RPi,encrypt,140,17.126807142857142,12.7685,35.28034999999996,96.92207999999961,167.45,17.65813515631026,3565.0785714285716,4836.885714285714,1271.807142857143,35.67410257025675,1.3567410257025674
CNN_FOG_ASCON,CNN,ASCON,fog,ascon,server_transport,Asus,RPi->PC,decrypt,140,16.16407142857143,11.803,31.164649999999966,74.17235999999987,124.802,13.693593401213397,3680.9857142857145,5007.342857142857,1326.357142857143,36.032718988494274,1.3603271898849427
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_leader,ESP32->RPi,deserialize,1876,0.11468923240938167,0.1265,0.14825,0.2175,2.013,0.06652530428394736,114.33262260127931,114.33262260127931,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_peer,ESP32->RPi,deserialize,1873,0.11275493860117458,0.129,0.174,0.22739999999999988,0.41,0.04269708873504663,114.84036305392418,114.84036305392418,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_leader,PC->RPi,deserialize,60,0.3157333333333333,0.289,0.4745999999999995,0.8112699999999995,0.898,0.11608687359999934,3578.05,3578.05,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_leader,RPi->ESP32,serialize,60,0.4608666666666667,0.4,0.6676499999999999,1.2331699999999999,1.255,0.1637918869242986,3578.05,3578.05,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_peer,RPi->ESP32,serialize,60,0.38645,0.3735,0.4381,0.7026199999999994,0.81,0.06873728367244859,3578.05,3578.05,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_leader,RPi->PC,serialize,62,0.42720967741935484,0.395,0.5203999999999999,1.0835000000000001,1.175,0.13700437208667351,3703.8064516129034,3703.8064516129034,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_peer,RPi_leader->RPi_peer,deserialize,60,0.23601666666666665,0.226,0.2698,0.34127999999999964,0.405,0.02795203729406658,3578.05,3578.05,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_leader,RPi_leader->RPi_peer,serialize,60,0.46140000000000003,0.3815,0.9270499999999999,1.3912799999999983,1.691,0.22881915712340756,3578.05,3578.05,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_leader,RPi_peer->RPi_leader,deserialize,62,0.26703225806451614,0.236,0.579149999999999,0.65295,0.717,0.09931198279744095,3681.8709677419356,3681.8709677419356,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,gateway_transport,gateway_fog_peer,RPi_peer->RPi_leader,serialize,62,0.4662258064516129,0.456,0.549,0.6821500000000001,0.795,0.058678297179055115,3681.8709677419356,3681.8709677419356,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,server_transport,AcerNico,PC->RPi,serialize,60,0.39791666666666664,0.4015,0.5028999999999999,0.5807999999999998,0.628,0.06579419722809063,3578.05,3578.05,0.0,0.0,1.0
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,server_transport,AcerNico,RPi->PC,deserialize,60,0.0,0.0,0.0,0.0,0.0,0.0,3703.5833333333335,3703.5833333333335,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_transport,gateway_A,ESP32->RPi,deserialize,1876,0.11196428571428572,0.121,0.152,0.213,0.338,0.03734783346846646,114.4051172707889,114.4051172707889,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_transport,gateway_B,ESP32->RPi,deserialize,1878,0.11273269435569755,0.124,0.157,0.22769000000000006,0.494,0.041455198063946874,115.080404685836,115.080404685836,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_transport,gateway_A,PC->RPi,deserialize,40,0.3326,0.274,0.6498499999999999,0.69406,0.712,0.13906110167836297,3573.725,3573.725,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_transport,gateway_B,PC->RPi,deserialize,40,0.278475,0.2315,0.5732499999999999,0.57922,0.58,0.09631614285777851,3573.725,3573.725,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_transport,gateway_A,RPi->ESP32,serialize,40,0.534725,0.405,1.093,1.2363499999999998,1.328,0.2578154366499415,3573.725,3573.725,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_transport,gateway_B,RPi->ESP32,serialize,40,0.422025,0.3715,0.93195,0.97876,0.985,0.16433144670147584,3573.725,3573.725,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_transport,gateway_A,RPi->PC,serialize,61,0.4612950819672131,0.451,0.532,0.6983999999999998,0.792,0.057659641328298566,3671.55737704918,3671.55737704918,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,gateway_transport,gateway_B,RPi->PC,serialize,62,0.5044516129032258,0.443,0.5119,1.822360000000002,3.728,0.41416299882313573,3667.3387096774195,3667.3387096774195,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,server_transport,AcerNico,PC->RPi,serialize,60,0.41173333333333334,0.3975,0.6674,0.9980699999999992,1.132,0.13790599052333521,3578.483333333333,3578.483333333333,0.0,0.0,1.0
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,server_transport,AcerNico,RPi->PC,deserialize,121,0.0,0.0,0.0,0.0,0.0,0.0,3669.7438016528927,3669.7438016528927,0.0,0.0,1.0
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,gateway_A,ESP32->RPi,decrypt,8957,3.23707770458859,3.894,4.606,4.99944,9.156,1.2797746450505572,115.44200066986714,232.154627665513,116.71262699564586,101.3745796150816,2.0137457961508156
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,gateway_B,ESP32->RPi,decrypt,9030,3.4330232558139535,4.017,4.7250999999999985,5.163129999999997,9.575,1.2587253689736801,115.76057585825028,232.57873754152823,116.81816168327796,101.13303893485057,2.011330389348506
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,,ESP32->RPi,decrypt,1803,3.48365280088741,3.949,4.691999999999998,5.238320000000001,8.992,1.1862686277385082,112.16528008874099,227.68219633943428,115.51691625069328,103.73591336711254,2.037359133671125
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,gateway_A,PC->RPi,decrypt,282,39.149223404255316,32.192,82.30414999999999,93.51017999999999,100.159,17.007327135712842,3536.386524822695,4798.439716312057,1262.0531914893618,35.68765559459138,1.3568765559459137
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,gateway_B,PC->RPi,decrypt,281,43.87811743772242,34.317,89.012,103.1732,110.538,20.460480512295838,3536.430604982206,4798.498220640569,1262.067615658363,35.68761853131741,1.356876185313174
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,,PC->RPi,decrypt,60,33.112049999999996,33.2235,36.25635,36.697669999999995,36.867,1.9936234551272045,3536.4333333333334,4798.4,1261.9666666666667,35.68473109290309,1.3568473109290309
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,gateway_A,RPi->ESP32,encrypt,282,35.11035460992908,33.6155,53.80945,57.23666999999999,65.194,5.884255273395159,3536.386524822695,4798.439716312057,1262.0531914893618,35.68765559459138,1.3568765559459137
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,gateway_B,RPi->ESP32,encrypt,281,36.52714590747331,34.923,52.393,56.7384,58.535,5.68188195509769,3536.430604982206,4798.498220640569,1262.067615658363,35.68761853131741,1.356876185313174
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,,RPi->ESP32,encrypt,60,34.42425,34.1265,37.86875,38.65858,38.681,1.7834700691348873,3536.4333333333334,4798.4,1261.9666666666667,35.68473109290309,1.3568473109290309
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,gateway_A,RPi->PC,encrypt,297,36.85150841750841,35.733,45.75239999999999,52.64872000000005,91.105,5.191619118490682,3639.3771043771044,4936.03367003367,1296.6565656565656,35.6285401795072,1.356285401795072
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,gateway_B,RPi->PC,encrypt,299,37.27104682274248,36.87,42.3983,50.96263999999999,52.229,3.104968100883909,3636.5785953177256,4931.953177257525,1295.3745819397993,35.62072464577842,1.3562072464577841
RN_ASCON,RN,ASCON,standard,ascon,gateway_transport,,RPi->PC,encrypt,60,36.46773333333333,36.375,41.03099999999999,44.554379999999995,45.096,2.538055442437947,3639.45,4935.8,1296.35,35.619416705747774,1.3561941670574778
RN_ASCON,RN,ASCON,standard,ascon,server_transport,AcerNico,PC->RPi,encrypt,92,28.518619565217392,25.866500000000002,41.609100000000005,51.83838000000001,54.279,6.482955579058983,3538.3804347826085,4801.04347826087,1262.6630434782608,35.68477576675484,1.3568477576675484
RN_ASCON,RN,ASCON,standard,ascon,server_transport,Asus,PC->RPi,encrypt,190,13.22011052631579,11.644,22.116849999999996,36.002019999999995,39.748,4.72329329949423,3535.4210526315787,4797.178947368421,1261.7578947368422,35.6890500375438,1.3568905003754381
RN_ASCON,RN,ASCON,standard,ascon,server_transport,,PC->RPi,encrypt,90,14.5426,12.2025,29.00575,32.553819999999995,33.499,5.811519846725887,3536.3555555555554,4798.488888888889,1262.1333333333334,35.690246927794625,1.3569024692779463
RN_ASCON,RN,ASCON,standard,ascon,server_transport,AcerNico,RPi->PC,decrypt,185,30.386697297297296,25.7,44.880799999999994,64.59715999999989,227.675,16.828042212579902,3641.7243243243242,4955.037837837838,1313.3135135135135,36.062982479681644,1.3606298247968165
RN_ASCON,RN,ASCON,standard,ascon,server_transport,Asus,RPi->PC,decrypt,380,12.755873684210526,11.181000000000001,22.59925,28.086019999999998,34.503,3.9624839537901377,3635.823684210526,4947.073684210526,1311.25,36.06475069929335,1.3606475069929334
RN_ASCON,RN,ASCON,standard,ascon,server_transport,,RPi->PC,decrypt,181,14.855762430939226,11.517,27.185,34.0314,88.994,7.970683627898371,3636.950276243094,4948.60773480663,1311.657458563536,36.06477849509673,1.3606477849509673
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_transport,gateway_A,ESP32->RPi,decrypt,3014,2.756207697412077,2.9589999999999996,4.48935,4.90074,8.309,1.3440959967332862,114.80723291307233,231.28268082282682,116.47544790975448,101.80718677719938,2.0180718677719938
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_transport,gateway_B,ESP32->RPi,decrypt,3012,1.967497011952191,1.443,4.2513499999999995,4.765,6.522,1.0685072416332415,116.20086321381142,233.18193891102257,116.98107569721115,100.82238091365318,2.0082238091365316
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_transport,gateway_A,PC->RPi,decrypt,100,31.94387,31.689500000000002,35.648649999999996,36.88392000000006,48.36,2.414846975089726,3534.67,4796.2,1261.53,35.690188941582356,1.3569018894158236
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_transport,gateway_A,RPi->ESP32,encrypt,100,33.83739,33.6845,36.0228,38.94930000000011,59.571,3.0733373875804784,3534.67,4796.2,1261.53,35.690188941582356,1.3569018894158236
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_transport,gateway_B,RPi->ESP32,encrypt,100,35.73255,35.08,40.570249999999994,47.51341000000007,60.127,3.727429957423748,3534.67,4796.2,1261.53,35.690188941582356,1.3569018894158236
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_transport,gateway_A,RPi->PC,encrypt,100,36.58205,35.888999999999996,41.43484999999998,58.69689000000001,60.567,4.669557994874889,3650.64,4950.76,1300.12,35.613492592942684,1.3561349259294269
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_transport,gateway_B,RPi_leader->RPi_peer,decrypt,100,36.48052,33.7285,63.188499999999976,81.21325000000004,90.247,10.414403255568702,3534.67,4796.2,1261.53,35.690188941582356,1.3569018894158236
RN_FOG_ASCON,RN,ASCON,fog,ascon,gateway_transport,gateway_A,RPi_leader->RPi_peer,encrypt,100,33.57289,33.697,36.19235,36.6311,38.324,1.5981729499337674,3534.67,4796.2,1261.53,35.690188941582356,1.3569018894158236
