variant,model,security,topology,attempt_id,attempt_dir,gateway_transport_files,server_transport_files,model_metric_files,global_history_files
CNN_ASCON_FOG,CNN,ASCON,FOG,2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#2,2,1,2,1
CNN_ASCON_FOG,CNN,ASCON,FOG,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#3,2,1,2,1
CNN_ASCON_FOG,CNN,ASCON,FOG,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#4,2,1,2,1
CNN_ASCON_FOG,CNN,ASCON,FOG,5,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#5,2,1,2,1
CNN_ASCON_FOG,CNN,ASCON,FOG,6,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#6,2,1,2,1
CNN_ASCON_FOG,CNN,ASCON,FOG,7,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#7,2,1,2,1
CNN_ASCON_FOG,CNN,ASCON,FOG,8,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#8,0,1,0,0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#1,2,1,2,1
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#2,2,1,2,1
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#3,2,1,2,1
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#4,2,1,2,1
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,5,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#5,2,1,2,1
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,6,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#6,2,1,2,1
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,7,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#7,2,1,2,1
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,8,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results\#8,2,1,2,1
CNN_PLAIN_FOG,CNN,PLAIN,FOG,2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-CNN\Results_FOG\#2,2,1,2,1
CNN_PLAIN_FOG,CNN,PLAIN,FOG,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-CNN\Results_FOG\#4,2,1,2,1
CNN_PLAIN_FOG,CNN,PLAIN,FOG,6,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-CNN\Results_FOG\#6,2,1,1,1
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-CNN\Results\#2,2,1,2,1
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-CNN\Results\#4,2,1,2,1
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,6,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-CNN\Results\#6,2,1,2,1
RN_ASCON_FOG,RN,ASCON,FOG,2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#2,2,1,2,1
RN_ASCON_FOG,RN,ASCON,FOG,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#3,2,1,2,1
RN_ASCON_FOG,RN,ASCON,FOG,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#4,2,1,2,1
RN_ASCON_FOG,RN,ASCON,FOG,5,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#5,2,1,2,1
RN_ASCON_FOG,RN,ASCON,FOG,9,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#9,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,1,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#1,0,1,0,0
RN_ASCON_NoFOG,RN,ASCON,NoFOG,2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#2,2,1,0,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#4,2,1,2,1
