experiment,architecture,mode,attempt_id,attempt_dir,ascon_metric_files,plain_metric_files,model_metric_files,global_history_files
RN_ASCON,RN,ascon,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,3,0,2,1
RN_ASCON,RN,ascon,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#4,3,0,2,1
RN_ASCON,RN,ascon,5,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#5,3,0,2,1
RN_ASCON,RN,ascon,6,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#6,3,0,2,1
RN_ASCON,RN,ascon,7,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#7,3,0,2,1
RN_ASCON,RN,ascon,8,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#8,3,0,2,1
RN_ASCON,RN,ascon,9,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#9,3,0,2,1
RN_ASCON,RN,ascon,10,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#10,3,0,2,1
RN_ASCON,RN,ascon,11,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#11,3,0,2,1
CNN_FOG_ASCON,CNN_FOG,ascon,2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#2,3,0,2,1
CNN_FOG_ASCON,CNN_FOG,ascon,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#3,3,0,2,1
CNN_FOG_ASCON,CNN_FOG,ascon,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#4,3,0,2,1
CNN_FOG_ASCON,CNN_FOG,ascon,5,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#5,3,0,2,1
CNN_FOG_ASCON,CNN_FOG,ascon,6,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#6,3,0,2,1
CNN_FOG_ASCON,CNN_FOG,ascon,7,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#7,3,0,2,1
CNN_FOG_ASCON,CNN_FOG,ascon,8,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-CNN\Results_FOG\#8,1,0,0,0
RN_NO_ASCON,RN,plain,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,0,3,2,1
RN_NO_ASCON,RN,plain,17,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#17,0,3,2,1
RN_NO_ASCON,RN,plain,18,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#18,0,3,2,1
RN_NO_ASCON,RN,plain,19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#19,0,3,2,1
RN_NO_ASCON,RN,plain,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#20,0,3,2,1
RN_NO_ASCON,RN,plain,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#21,0,3,2,1
RN_NO_ASCON,RN,plain,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#22,0,3,2,1
RN_NO_ASCON,RN,plain,23,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#23,0,3,2,1
RN_NO_ASCON,RN,plain,24,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#24,0,3,2,1
RN_NO_ASCON,RN,plain,25,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#25,0,3,2,1
RN_NO_ASCON,RN,plain,26,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#26,0,3,2,1
RN_NO_ASCON,RN,plain,27,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#27,0,3,2,1
RN_NO_ASCON,RN,plain,28,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#28,0,3,2,1
RN_NO_ASCON,RN,plain,29,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#29,0,3,2,1
