round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,experiment,architecture,mode,attempt_id,source_file,fog_samples
1,13:31:07,0.75,0.794337,0.286624,0.291376,0.540607,0.409397,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
2,13:32:00,1.0,0.093062,0.289352,0.295928,0.554408,0.425073,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
3,13:33:01,0.966667,0.076524,0.292215,0.305762,0.564005,0.441219,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
4,13:34:00,0.983333,0.029888,0.295065,0.312595,0.568785,0.451966,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
5,13:34:59,1.0,0.015347,0.296527,0.316948,0.571661,0.457559,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
6,13:39:02,0.85,0.458896,0.287889,0.312742,0.545828,0.452445,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
7,13:40:01,0.85,0.413023,0.285287,0.306858,0.546389,0.440083,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
8,13:41:00,0.9,0.263188,0.284624,0.298128,0.542793,0.439427,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
9,13:41:59,0.85,0.274526,0.286809,0.290664,0.544432,0.450523,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
10,13:42:58,0.866667,0.305087,0.28823,0.289701,0.546012,0.455912,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
11,13:43:57,0.866667,0.314123,0.288469,0.291933,0.543137,0.456975,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
12,13:44:56,0.916667,0.28475,0.288143,0.291471,0.54332,0.457007,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
13,13:45:55,0.866667,0.338932,0.28632,0.287843,0.542472,0.452857,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
14,13:46:54,0.883333,0.210639,0.286179,0.281587,0.541347,0.458013,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
15,13:47:53,0.833333,0.305248,0.286976,0.280347,0.543249,0.46311,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
16,13:48:52,0.866667,0.284815,0.285433,0.278381,0.534739,0.470697,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
17,13:49:51,0.933333,0.237325,0.285825,0.279126,0.535192,0.477389,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
18,13:50:49,0.883333,0.242934,0.286735,0.273063,0.539371,0.481652,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
19,13:51:48,0.866667,0.313103,0.288173,0.264862,0.539603,0.484128,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
20,13:52:47,0.816667,0.286049,0.289775,0.260785,0.541546,0.486548,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
21,13:53:47,0.9,0.183971,0.291188,0.261765,0.542794,0.492789,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
22,13:54:46,0.883333,0.233325,0.292073,0.265748,0.541024,0.501445,RN_ASCON,RN,ascon,3,global_weights_history_2.csv,
