attempt_id,device_suffix,sample_label_name,samples,share_pct
3,gateway_A,mqtt_bruteforce,61,6.124497991967871
3,gateway_A,normal,749,75.20080321285141
3,gateway_A,scan_A,96,9.63855421686747
3,gateway_A,,90,9.036144578313253
3,gateway_B,mqtt_bruteforce,85,8.49150849150849
3,gateway_B,normal,760,75.92407592407594
3,gateway_B,scan_A,66,6.593406593406594
3,gateway_B,,90,8.991008991008991
4,gateway_A,mqtt_bruteforce,43,6.475903614457831
4,gateway_A,normal,521,78.46385542168674
4,gateway_A,scan_A,40,6.024096385542169
4,gateway_A,,60,9.036144578313253
4,gateway_B,normal,604,90.96385542168674
4,gateway_B,,60,9.036144578313253
5,gateway_A,mqtt_bruteforce,48,7.2617246596066565
5,gateway_A,normal,514,77.76096822995461
5,gateway_A,scan_A,39,5.900151285930408
5,gateway_A,,60,9.07715582450832
5,gateway_B,normal,601,90.92284417549168
5,gateway_B,,60,9.07715582450832
6,gateway_A,mqtt_bruteforce,38,6.022187004754358
6,gateway_A,normal,489,77.4960380348653
6,gateway_A,scan_A,45,7.131537242472266
6,gateway_A,,59,9.350237717908081
6,gateway_B,normal,633,91.47398843930635
6,gateway_B,,59,8.526011560693641
7,gateway_A,mqtt_bruteforce,37,5.606060606060606
7,gateway_A,normal,519,78.63636363636364
7,gateway_A,scan_A,44,6.666666666666667
7,gateway_A,,60,9.090909090909092
7,gateway_B,normal,606,90.990990990991
7,gateway_B,,60,9.00900900900901
8,gateway_A,mqtt_bruteforce,46,6.948640483383686
8,gateway_A,normal,516,77.94561933534743
8,gateway_A,scan_A,40,6.042296072507553
8,gateway_A,,60,9.06344410876133
8,gateway_B,normal,602,90.93655589123867
8,gateway_B,,60,9.06344410876133
9,gateway_A,mqtt_bruteforce,48,7.2727272727272725
9,gateway_A,normal,507,76.81818181818181
9,gateway_A,scan_A,45,6.8181818181818175
9,gateway_A,,60,9.090909090909092
9,gateway_B,mqtt_bruteforce,53,8.030303030303031
9,gateway_B,normal,513,77.72727272727272
9,gateway_B,scan_A,34,5.151515151515151
9,gateway_B,,60,9.090909090909092
10,gateway_A,mqtt_bruteforce,39,5.909090909090909
10,gateway_A,normal,521,78.93939393939394
10,gateway_A,scan_A,40,6.0606060606060606
10,gateway_A,,60,9.090909090909092
10,gateway_B,mqtt_bruteforce,40,6.051437216338881
10,gateway_B,normal,527,79.72768532526476
10,gateway_B,scan_A,34,5.143721633888049
10,gateway_B,,60,9.07715582450832
11,gateway_A,normal,600,90.9090909090909
11,gateway_A,,60,9.090909090909092
11,gateway_B,mqtt_bruteforce,46,6.93815987933635
11,gateway_B,normal,506,76.31975867269985
11,gateway_B,scan_A,51,7.6923076923076925
11,gateway_B,,60,9.049773755656108
