round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,round_duration_sec,w3_drift_abs,w4_normal_drift_abs,w4_brute_drift_abs,w4_scan_drift_abs,weight_drift_total_abs
1,13:31:07,0.75,0.794337,0.286624,0.291376,0.540607,0.409397,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:31:07,model.global_round,1,aggregate,server,,,,,,0.0
2,13:32:00,1.0,0.093062,0.289352,0.295928,0.554408,0.425073,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:32:00,model.global_round,2,aggregate,server,53.0,0.002728000000000008,0.0045520000000000005,0.013801000000000063,0.015675999999999968,0.03675700000000004
3,13:33:01,0.966667,0.076524,0.292215,0.305762,0.564005,0.441219,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:33:01,model.global_round,3,aggregate,server,61.0,0.0028630000000000044,0.009833999999999954,0.009596999999999967,0.016145999999999994,0.03843999999999992
4,13:34:00,0.983333,0.029888,0.295065,0.312595,0.568785,0.451966,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:34:00,model.global_round,4,aggregate,server,59.0,0.002850000000000019,0.0068330000000000335,0.0047800000000000065,0.010747000000000007,0.025210000000000066
5,13:34:59,1.0,0.015347,0.296527,0.316948,0.571661,0.457559,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:34:59,model.global_round,5,aggregate,server,59.0,0.0014619999999999633,0.004352999999999996,0.0028759999999999897,0.005593000000000015,0.014283999999999963
6,13:39:02,0.85,0.458896,0.287889,0.312742,0.545828,0.452445,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:39:02,model.global_round,6,aggregate,server,243.0,0.008637999999999979,0.0042059999999999875,0.025832999999999995,0.005114000000000007,0.04379099999999997
7,13:40:01,0.85,0.413023,0.285287,0.306858,0.546389,0.440083,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:40:01,model.global_round,7,aggregate,server,59.0,0.002601999999999993,0.005884,0.0005610000000000337,0.012361999999999984,0.02140900000000001
8,13:41:00,0.9,0.263188,0.284624,0.298128,0.542793,0.439427,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:41:00,model.global_round,8,aggregate,server,59.0,0.0006630000000000247,0.008730000000000016,0.0035960000000000436,0.0006559999999999899,0.013645000000000074
9,13:41:59,0.85,0.274526,0.286809,0.290664,0.544432,0.450523,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:41:59,model.global_round,9,aggregate,server,59.0,0.0021849999999999925,0.007464000000000026,0.001639000000000057,0.011095999999999995,0.02238400000000007
10,13:42:58,0.866667,0.305087,0.28823,0.289701,0.546012,0.455912,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:42:58,model.global_round,10,aggregate,server,59.0,0.0014210000000000056,0.0009629999999999916,0.0015800000000000258,0.005388999999999977,0.009353
11,13:43:57,0.866667,0.314123,0.288469,0.291933,0.543137,0.456975,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:43:57,model.global_round,11,aggregate,server,59.0,0.00023899999999998922,0.0022320000000000118,0.002875000000000072,0.0010630000000000361,0.006409000000000109
12,13:44:56,0.916667,0.28475,0.288143,0.291471,0.54332,0.457007,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:44:56,model.global_round,12,aggregate,server,59.0,0.00032599999999999296,0.00046200000000001795,0.00018300000000004424,3.199999999997649e-05,0.0010030000000000316
13,13:45:55,0.866667,0.338932,0.28632,0.287843,0.542472,0.452857,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:45:55,model.global_round,13,aggregate,server,59.0,0.0018229999999999635,0.0036279999999999646,0.0008480000000000709,0.004149999999999987,0.010448999999999986
14,13:46:54,0.883333,0.210639,0.286179,0.281587,0.541347,0.458013,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:46:54,model.global_round,14,aggregate,server,59.0,0.00014100000000000223,0.006256000000000039,0.0011249999999999316,0.005155999999999994,0.012677999999999967
15,13:47:53,0.833333,0.305248,0.286976,0.280347,0.543249,0.46311,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:47:53,model.global_round,15,aggregate,server,59.0,0.0007969999999999922,0.0012399999999999634,0.0019019999999999593,0.005097000000000018,0.009035999999999933
16,13:48:52,0.866667,0.284815,0.285433,0.278381,0.534739,0.470697,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:48:52,model.global_round,16,aggregate,server,59.0,0.0015430000000000166,0.0019660000000000233,0.008510000000000018,0.007586999999999955,0.019606000000000012
17,13:49:51,0.933333,0.237325,0.285825,0.279126,0.535192,0.477389,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:49:51,model.global_round,17,aggregate,server,59.0,0.00039200000000000346,0.0007449999999999957,0.0004530000000000367,0.006692000000000031,0.008282000000000067
18,13:50:49,0.883333,0.242934,0.286735,0.273063,0.539371,0.481652,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:50:49,model.global_round,18,aggregate,server,58.0,0.0009100000000000219,0.006062999999999985,0.004179000000000044,0.004263000000000017,0.015415000000000068
19,13:51:48,0.866667,0.313103,0.288173,0.264862,0.539603,0.484128,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:51:48,model.global_round,19,aggregate,server,59.0,0.0014379999999999948,0.008201000000000014,0.00023200000000000998,0.0024759999999999782,0.012346999999999997
20,13:52:47,0.816667,0.286049,0.289775,0.260785,0.541546,0.486548,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,global_weights_history_2.csv,global_round,2026-04-15 13:52:47,model.global_round,20,aggregate,server,59.0,0.0016019999999999923,0.004076999999999997,0.001942999999999917,0.0024199999999999777,0.010041999999999884
