attempt_id,device_suffix,rounds_seen,avg_accuracy,std_accuracy,min_accuracy,max_accuracy,avg_loss,std_loss,min_loss,max_loss,avg_num_samples,avg_buffer_target
3,gateway_A,30.0,0.8922222157319387,0.06759538042100582,0.7333333492279053,1.0,0.24573860627909502,0.1478199506909538,0.0200901199132204,0.6607889533042908,30.0,30.0
3,gateway_B,30.0,0.9055555442969004,0.06671294532169096,0.699999988079071,1.0,0.2457059261078636,0.1826738770157949,0.0106034241616725,0.9278846979141236,30.0,30.0
4,gateway_A,20.0,0.8983333259820938,0.07991313976912576,0.6666666865348816,1.0,0.27154132798314096,0.1975068515565913,0.06561841070652,0.8778215050697327,30.0,30.0
4,gateway_B,20.0,0.9800000011920929,0.07333332896232606,0.6666666865348816,1.0,0.06411313943099226,0.1835110426026627,0.0041675637476146,0.8518619537353516,30.0,30.0
5,gateway_A,20.0,0.8983333319425583,0.07851043072036173,0.7333333492279053,1.0,0.2985001913271844,0.23382640450523365,0.0187919232994318,0.9979569911956788,30.0,30.0
5,gateway_B,20.0,0.986666664481163,0.05099019911033522,0.7666666507720947,1.0,0.05247844207333398,0.1478474764622042,0.0030269373673945,0.6872164607048035,30.0,30.0
6,gateway_A,19.0,0.9192982316017151,0.06694310485189271,0.7666666507720947,1.0,0.27697468029433175,0.22020703012952444,0.0108089260756969,0.9114301204681396,30.0,30.0
6,gateway_B,20.0,0.9825396821612403,0.05964537691051199,0.7333333492279053,1.0,0.07657605544885707,0.23838633188193326,0.0029435888864099,1.1237525939941406,30.0,30.0
7,gateway_A,20.0,0.9266666561365128,0.060184904949917524,0.8333333134651184,1.0,0.20664999140426515,0.14415693774896648,0.0125239193439483,0.641818106174469,30.0,30.0
7,gateway_B,20.0,0.9799999982118607,0.05517648915724776,0.7666666507720947,1.0,0.07416470757452767,0.1653079231174914,0.003068552352488,0.7261812686920166,30.0,30.0
8,gateway_A,20.0,0.913333323597908,0.07408703550965579,0.7666666507720947,1.0,0.24705944880843161,0.22589640704090155,0.0105302315205335,0.9223887324333192,30.0,30.0
8,gateway_B,20.0,0.9883333325386048,0.04381146288587703,0.800000011920929,1.0,0.05489003619877618,0.14674117056170857,0.0030825191643089,0.6797438263893127,30.0,30.0
9,gateway_A,20.0,0.9149999916553497,0.07562700684917462,0.7666666507720947,1.0,0.2338074010796845,0.17104552719567584,0.0254339594393968,0.5990232825279236,30.0,30.0
9,gateway_B,20.0,0.9033333331346511,0.0842614905872568,0.7333333492279053,1.0,0.24539258787408472,0.17275616398678584,0.0173258762806653,0.645965576171875,30.0,30.0
10,gateway_A,20.0,0.901666659116745,0.07108289257977424,0.7333333492279053,1.0,0.2481840855209157,0.17729188597249915,0.0046235485933721,0.7262839674949646,30.0,30.0
10,gateway_B,20.0,0.9299999952316285,0.06403124119523022,0.800000011920929,1.0,0.21691448553465303,0.17760043213006096,0.0111335357651114,0.707461953163147,30.0,30.0
11,gateway_A,20.0,0.9816666603088379,0.051071849799667154,0.7666666507720947,1.0,0.06591840793844309,0.14946514780870543,0.0034187291748821,0.6917151212692261,30.0,30.0
11,gateway_B,20.0,0.8699999988079071,0.08089773989387551,0.7333333492279053,1.0,0.30850057750940324,0.23055359643458992,0.0201068837195634,1.1214922666549685,30.0,30.0
