round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,round_duration_sec,w3_drift_abs,w4_normal_drift_abs,w4_brute_drift_abs,w4_scan_drift_abs,weight_drift_total_abs
1,10:25:58,0.766667,0.784061,0.28866,0.291142,0.5427,0.409748,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:25:58,model.global_round,1,aggregate,server,,,,,,0.0
2,10:26:43,0.983333,0.095978,0.291775,0.295218,0.557564,0.427205,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:26:43,model.global_round,2,aggregate,server,45.0,0.003114999999999979,0.0040759999999999685,0.014863999999999988,0.017457,0.039511999999999936
3,10:27:33,1.0,0.048242,0.294914,0.304233,0.567695,0.438516,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:27:33,model.global_round,3,aggregate,server,50.0,0.003139000000000003,0.009014999999999995,0.010131000000000001,0.011311000000000015,0.033596000000000015
4,10:28:23,1.0,0.031063,0.296652,0.309996,0.573844,0.446696,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:28:23,model.global_round,4,aggregate,server,50.0,0.0017380000000000173,0.005763000000000018,0.006149000000000071,0.008179999999999965,0.02183000000000007
5,10:29:12,1.0,0.020206,0.297717,0.314496,0.578395,0.452812,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:29:12,model.global_round,5,aggregate,server,49.0,0.0010649999999999826,0.004500000000000004,0.004550999999999972,0.00611600000000001,0.01623199999999997
6,10:34:10,0.833333,0.620936,0.291656,0.300631,0.559932,0.445675,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:34:10,model.global_round,6,aggregate,server,298.0,0.006060999999999983,0.013865000000000016,0.018463000000000007,0.0071370000000000045,0.04552600000000001
7,10:35:00,0.9,0.262829,0.291647,0.291723,0.558179,0.449365,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:35:00,model.global_round,7,aggregate,server,50.0,9.000000000036756e-06,0.008907999999999971,0.0017530000000000046,0.0036900000000000266,0.01436000000000004
8,10:35:50,0.75,0.733788,0.291835,0.288771,0.565912,0.447028,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:35:50,model.global_round,8,aggregate,server,50.0,0.00018800000000002148,0.00295200000000001,0.00773299999999999,0.0023370000000000335,0.013210000000000055
9,10:36:40,0.85,0.379978,0.292419,0.290232,0.570937,0.447853,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:36:40,model.global_round,9,aggregate,server,50.0,0.0005839999999999734,0.00146099999999999,0.005025000000000057,0.0008250000000000202,0.007895000000000041
10,10:37:30,0.866667,0.204281,0.294307,0.288808,0.571073,0.450762,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,global_weights_history_2.csv,global_round,2026-04-19 10:37:30,model.global_round,10,aggregate,server,50.0,0.0018880000000000008,0.0014239999999999808,0.000136000000000025,0.002908999999999995,0.0063570000000000015
