trace_id,attempt_id,global_round,global_timestamp,global_accuracy,global_loss,w3_mag,w4_normal,w4_brute,w4_scan,gateway_A_local_accuracy,gateway_A_local_loss,gateway_A_local_num_samples,gateway_A_local_timestamp,gateway_A_gateway_events,gateway_A_gateway_deserialize_avg_ms,gateway_A_gateway_deserialize_p95_ms,gateway_A_gateway_avg_payload_bytes,gateway_A_gateway_samples_seen,gateway_B_local_accuracy,gateway_B_local_loss,gateway_B_local_num_samples,gateway_B_local_timestamp,gateway_B_gateway_events,gateway_B_gateway_deserialize_avg_ms,gateway_B_gateway_deserialize_p95_ms,gateway_B_gateway_avg_payload_bytes,gateway_B_gateway_samples_seen,server_rpi_pc_events,server_rpi_pc_avg_ms,server_rpi_pc_p95_ms,server_rpi_pc_avg_payload_bytes,server_pc_rpi_events,server_pc_rpi_avg_ms,server_pc_rpi_p95_ms,server_pc_rpi_avg_payload_bytes
attempt:16:round:1,16,1,2026-04-19 10:25:58,0.766667,0.784061,0.28866,0.291142,0.5427,0.409748,0.7333333492279053,0.8140271306037903,30,2026-04-19 10:25:58,32.0,0.11428125,0.2316499999999999,333.28125,30.0,0.800000011920929,0.7540940642356873,30,2026-04-19 10:25:57,37.0,0.13891891891891894,0.22299999999999978,304.7837837837838,35.0,2.0,0.0,0.0,3643.0,1.0,0.238,0.238,3537.0
attempt:16:round:2,16,2,2026-04-19 10:26:43,0.983333,0.095978,0.291775,0.295218,0.557564,0.427205,1.0,0.0644791796803474,30,2026-04-19 10:26:43,33.0,0.12633333333333333,0.32639999999999975,430.8484848484849,30.0,0.9666666388511658,0.1274761259555816,30,2026-04-19 10:26:41,30.0,0.16363333333333335,0.4006499999999999,462.6666666666667,27.0,2.0,0.0,0.0,3644.5,1.0,0.2,0.2,3532.0
attempt:16:round:3,16,3,2026-04-19 10:27:33,1.0,0.048242,0.294914,0.304233,0.567695,0.438516,1.0,0.0511341951787471,30,2026-04-19 10:27:33,33.0,0.12978787878787879,0.36019999999999985,430.6363636363636,30.0,1.0,0.0453496351838111,30,2026-04-19 10:27:31,33.0,0.17454545454545453,0.3341999999999998,431.030303030303,30.0,2.0,0.0,0.0,3632.5,1.0,0.171,0.171,3543.0
attempt:16:round:4,16,4,2026-04-19 10:28:23,1.0,0.031063,0.296652,0.309996,0.573844,0.446696,1.0,0.0318776816129684,30,2026-04-19 10:28:23,33.0,0.13415151515151516,0.41859999999999997,430.6666666666667,30.0,1.0,0.0302475877106189,30,2026-04-19 10:28:21,33.0,0.1605757575757576,0.32039999999999985,430.0,30.0,2.0,0.0,0.0,3622.5,1.0,0.149,0.149,3535.0
attempt:16:round:5,16,5,2026-04-19 10:29:12,1.0,0.020206,0.297717,0.314496,0.578395,0.452812,1.0,0.0248885508626699,30,2026-04-19 10:29:12,33.0,0.13103030303030302,0.3725999999999999,430.6060606060606,30.0,1.0,0.0155241163447499,30,2026-04-19 10:29:11,33.0,0.156,0.28419999999999984,429.93939393939394,30.0,2.0,0.0,0.0,3629.5,1.0,0.222,0.222,3529.0
attempt:16:round:6,16,6,2026-04-19 10:34:10,0.833333,0.620936,0.291656,0.300631,0.559932,0.445675,0.6666666865348816,1.2271682024002075,30,2026-04-19 10:34:05,37.0,0.13399999999999995,0.2783999999999992,392.2432432432432,34.0,1.0,0.0147034786641597,30,2026-04-19 10:34:10,31.0,0.1573548387096774,0.306,451.0,28.0,2.0,0.0,0.0,3639.5,1.0,0.201,0.201,3547.0
attempt:16:round:7,16,7,2026-04-19 10:35:00,0.9,0.262829,0.291647,0.291723,0.558179,0.449365,0.8333333134651184,0.4497591555118561,30,2026-04-19 10:34:55,33.0,0.1483939393939394,0.27619999999999983,426.90909090909093,30.0,0.9666666388511658,0.0758994296193122,30,2026-04-19 10:35:00,33.0,0.1433939393939394,0.2875999999999998,430.7878787878788,30.0,2.0,0.0,0.0,3639.0,1.0,0.174,0.174,3533.0
attempt:16:round:8,16,8,2026-04-19 10:35:50,0.75,0.733788,0.291835,0.288771,0.565912,0.447028,0.5,1.443485975265503,30,2026-04-19 10:35:45,33.0,0.14315151515151514,0.2883999999999999,423.5151515151515,30.0,1.0,0.0240906905382871,30,2026-04-19 10:35:50,33.0,0.14760606060606063,0.2947999999999998,430.90909090909093,30.0,2.0,0.0,0.0,3638.5,1.0,0.217,0.217,3532.0
attempt:16:round:9,16,9,2026-04-19 10:36:40,0.85,0.379978,0.292419,0.290232,0.570937,0.447853,0.699999988079071,0.7392966747283936,30,2026-04-19 10:36:35,33.0,0.13733333333333334,0.2963999999999998,429.57575757575756,30.0,1.0,0.0206591784954071,30,2026-04-19 10:36:40,33.0,0.15484848484848482,0.2865999999999998,431.0,30.0,2.0,0.0,0.0,3638.0,1.0,0.185,0.185,3556.0
attempt:16:round:10,16,10,2026-04-19 10:37:30,0.866667,0.204281,0.294307,0.288808,0.571073,0.450762,0.7333333492279053,0.3893095552921295,30,2026-04-19 10:37:25,33.0,0.12036363636363637,0.29559999999999975,425.8787878787879,30.0,1.0,0.0192521512508392,30,2026-04-19 10:37:30,33.0,0.16315151515151516,0.3243999999999998,431.5151515151515,30.0,2.0,0.0,0.0,3631.0,1.0,0.245,0.245,3546.0
