timestamp,uptime_s,device_name,device_suffix,hostname,run_id,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round
23:55:35.085,74.4,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3679,5006,1327,25.44,0
23:55:37.255,76.6,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3661,4982,1321,24.299,0
23:55:37.295,76.6,server,AcerNico,AcerNico,1,PC->RPi,encrypt,3620,4910,1290,34.664,1
23:56:30.249,129.6,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3724,5066,1342,40.26,1
23:56:30.501,129.8,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3724,5066,1342,24.594,1
23:56:30.541,129.9,server,AcerNico,AcerNico,1,PC->RPi,encrypt,3620,4910,1290,36.677,2
23:57:28.713,188.1,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3712,5050,1338,38.865,2
23:57:28.890,188.2,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3709,5046,1337,24.241,2
23:57:28.920,188.3,server,AcerNico,AcerNico,1,PC->RPi,encrypt,3614,4902,1288,25.769,3
23:58:26.921,246.3,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3701,5034,1333,23.121,3
23:58:27.102,246.4,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3695,5026,1331,37.84,3
23:58:27.131,246.5,server,AcerNico,AcerNico,1,PC->RPi,encrypt,3591,4870,1279,25.712,4
23:59:25.248,304.6,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3685,5014,1329,48.727,4
23:59:25.317,304.7,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3682,5010,1328,28.934,4
23:59:25.348,304.7,server,AcerNico,AcerNico,1,PC->RPi,encrypt,3581,4858,1277,27.008,5
00:00:23.513,362.9,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3688,5018,1330,23.792,5
00:00:23.639,363.0,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3680,5006,1326,24.395,5
00:00:23.673,363.0,server,AcerNico,AcerNico,1,PC->RPi,encrypt,3575,4850,1275,29.855,6
00:01:21.896,421.2,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3667,4990,1323,22.958,6
00:01:22.007,421.3,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3662,4982,1320,36.971,6
00:01:22.036,421.4,server,AcerNico,AcerNico,1,PC->RPi,encrypt,3570,4842,1272,25.477,7
00:02:20.210,479.5,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3672,4994,1322,27.014,7
00:02:20.560,479.9,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3687,5014,1327,44.844,7
00:02:20.590,479.9,server,AcerNico,AcerNico,1,PC->RPi,encrypt,3570,4842,1272,26.213,8
00:03:18.749,538.1,server,AcerNico,AcerNico,1,RPi->PC,decrypt,3656,4974,1318,23.81,8
