round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,23:55:37,0.65,0.769893,0.16615,0.258922,0.128801,0.114748
2,23:56:30,0.766667,0.796976,0.172567,0.281172,0.146804,0.121163
3,23:57:28,0.75,0.656026,0.185203,0.321028,0.181311,0.14581
4,23:58:27,0.766667,0.666649,0.203614,0.360843,0.205391,0.182539
5,23:59:25,0.816667,0.413158,0.220648,0.38515,0.230869,0.225453
6,00:00:23,0.8,0.379542,0.233259,0.411246,0.248961,0.248744
7,00:01:22,0.816667,0.362257,0.244785,0.433464,0.264095,0.262998
8,00:02:20,0.933333,0.253641,0.260212,0.461728,0.276758,0.284286
9,00:03:18,0.966667,0.165021,0.273387,0.487407,0.291935,0.305382
10,00:04:16,0.85,0.314928,0.27899,0.4873,0.29554,0.333202
11,00:05:15,0.95,0.232575,0.287429,0.495187,0.323813,0.346559
12,00:06:13,0.916667,0.226126,0.29327,0.507047,0.329652,0.363408
13,00:07:13,0.883333,0.255437,0.298943,0.517697,0.338014,0.380799
14,00:08:14,0.933333,0.176164,0.302677,0.525696,0.355455,0.393164
15,00:09:12,0.983333,0.095732,0.307211,0.53682,0.364559,0.409405
16,00:10:11,1.0,0.056994,0.309141,0.538447,0.377734,0.418246
17,00:11:12,0.933333,0.104747,0.316413,0.553429,0.390843,0.429042
18,00:12:11,0.983333,0.075445,0.318925,0.557061,0.39587,0.440852
19,00:13:09,1.0,0.047835,0.323878,0.569928,0.399843,0.453945
20,00:14:08,0.983333,0.066665,0.32714,0.57838,0.404091,0.460774
