round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,14:16:35,0.933333,0.452949,0.319724,0.665124,0.885222,0.42104
2,14:17:28,1.0,0.147667,0.326326,0.713163,0.898458,0.408197
3,14:18:32,1.0,0.048005,0.33179,0.74589,0.905721,0.429712
4,14:19:33,0.9,0.283325,0.332126,0.737569,0.909232,0.430033
5,14:20:34,0.933333,0.171943,0.334389,0.729876,0.915644,0.435212
6,14:21:33,0.966667,0.076614,0.339494,0.732732,0.922217,0.440134
7,14:22:31,0.966667,0.092314,0.342938,0.725781,0.927514,0.446541
8,14:23:30,0.966667,0.079211,0.347477,0.730758,0.935413,0.454503
9,14:24:29,0.966667,0.102865,0.352758,0.729895,0.942114,0.463219
10,14:25:28,0.916667,0.150482,0.356225,0.734931,0.947655,0.471546
11,14:26:27,0.933333,0.242119,0.358176,0.725193,0.951935,0.475753
12,14:27:27,0.966667,0.139013,0.35854,0.709263,0.955445,0.472461
13,14:28:35,0.966667,0.188177,0.363351,0.695199,0.961677,0.48963
14,14:29:34,0.933333,0.176648,0.367361,0.68605,0.961149,0.499972
15,14:30:33,0.95,0.123563,0.371264,0.697284,0.964864,0.508803
16,14:31:31,0.966667,0.105877,0.374822,0.709444,0.969649,0.513263
17,14:32:30,0.95,0.188309,0.378227,0.711675,0.971493,0.521039
18,14:33:33,0.933333,0.165833,0.381499,0.705243,0.976757,0.526482
19,14:34:32,0.933333,0.144881,0.384062,0.71403,0.980122,0.528584
20,14:35:31,0.883333,0.288282,0.38324,0.712098,0.977222,0.534201
