round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,14:38:36,0.883333,0.32279,0.327725,0.656502,0.876344,0.438695
2,14:39:29,0.75,0.482662,0.331555,0.655623,0.885155,0.445547
3,14:40:28,0.8,0.484568,0.334823,0.649956,0.893944,0.453763
4,14:41:26,0.8,0.419767,0.33848,0.645972,0.904386,0.458748
5,14:42:25,0.9,0.293691,0.343346,0.658306,0.912365,0.455803
6,14:43:23,0.833333,0.320707,0.348121,0.657868,0.921331,0.464045
7,14:44:25,0.916667,0.242132,0.351097,0.669361,0.929299,0.472932
8,14:45:24,0.883333,0.301887,0.353358,0.672214,0.932316,0.468025
9,14:46:22,0.916667,0.256059,0.353345,0.656834,0.934269,0.484288
10,14:47:21,0.883333,0.236086,0.355588,0.665012,0.937299,0.482403
11,14:48:21,0.95,0.197282,0.35526,0.667053,0.934386,0.491914
12,14:49:20,0.933333,0.13732,0.357814,0.680534,0.93437,0.502453
13,14:50:20,0.933333,0.165133,0.35796,0.686178,0.938159,0.50584
14,14:51:19,0.916667,0.202366,0.359808,0.686812,0.94135,0.506129
15,14:52:18,0.866667,0.260998,0.362625,0.689791,0.944333,0.510629
16,14:53:16,0.9,0.203011,0.363761,0.689345,0.946113,0.518566
17,14:54:14,0.933333,0.163695,0.365988,0.690816,0.947651,0.524614
18,14:55:13,0.933333,0.161022,0.365949,0.692975,0.947701,0.528017
19,14:56:12,0.916667,0.187685,0.366894,0.699146,0.950597,0.52413
20,14:57:11,0.966667,0.118696,0.3678,0.698187,0.954874,0.524628
