timestamp,uptime_s,device_name,device_suffix,hostname,run_id,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round
18:06:56.289,97.2,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3704,5038,1334,12.056,0
18:06:56.304,97.2,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3600,4882,1282,12.127,1
18:07:49.418,150.3,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3673,4998,1325,12.33,1
18:07:49.433,150.3,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3569,4842,1273,12.126,2
18:08:53.174,214.1,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3705,5038,1333,12.285,2
18:08:53.188,214.1,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3586,4866,1280,10.884,3
18:09:51.827,272.7,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3703,5038,1335,11.782,3
18:09:51.850,272.7,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3585,4862,1277,20.499,4
18:10:50.513,331.4,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3696,5026,1330,14.455,4
18:10:50.527,331.4,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3578,4854,1276,10.775,5
18:11:49.246,390.1,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3698,5030,1332,12.239,5
18:11:49.263,390.1,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3579,4854,1275,14.87,6
18:12:48.651,449.5,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3687,5014,1327,10.456,6
18:12:48.665,449.5,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3568,4842,1274,10.081,7
18:13:47.086,508.0,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3698,5030,1332,10.743,7
18:13:47.104,508.0,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3579,4854,1275,14.837,8
18:14:45.707,566.6,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3667,4990,1323,11.133,8
18:14:45.720,566.6,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3549,4814,1265,10.235,9
18:15:44.359,625.2,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3699,5030,1331,11.076,9
18:15:44.376,625.3,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3581,4858,1277,14.67,10
18:16:42.970,683.9,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3690,5018,1328,16.988,10
18:16:42.984,683.9,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3572,4846,1274,11.225,11
18:17:41.756,742.6,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3678,5002,1324,13.593,11
18:17:41.769,742.6,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3561,4830,1269,10.467,12
18:18:40.343,801.2,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3675,4998,1323,19.135,12
18:18:40.361,801.2,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3556,4826,1270,15.304,13
18:19:38.790,859.7,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3682,5010,1328,11.942,13
18:19:38.802,859.7,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3564,4834,1270,10.09,14
18:20:37.410,918.3,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3678,5002,1324,24.021,14
18:20:37.434,918.3,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3560,4830,1270,20.514,15
18:21:35.825,976.7,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3657,4974,1317,10.297,15
18:21:35.836,976.7,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3538,4802,1264,9.974,16
18:22:34.322,1035.2,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3670,4994,1324,11.098,16
18:22:34.336,1035.2,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3551,4818,1267,10.827,17
18:23:32.775,1093.7,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3663,4982,1319,11.461,17
18:23:32.787,1093.7,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3545,4810,1265,10.639,18
18:24:31.509,1152.4,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3667,4990,1323,27.589,18
18:24:31.524,1152.4,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3548,4814,1266,11.462,19
18:25:36.753,1217.6,server_fog,Asus,Asus,2,RPi_leader->PC,decrypt,3675,4998,1323,13.979,19
18:25:36.765,1217.6,server_fog,Asus,Asus,2,PC->RPi_leader,encrypt,3557,4826,1269,9.98,20
