round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,16:22:45,0.8,0.742458,0.173017,0.256041,0.339632,0.175258,60
2,16:23:38,0.866667,0.615341,0.185921,0.28698,0.391614,0.170238,60
3,16:24:37,0.8,0.508413,0.201546,0.329863,0.457546,0.164853,60
4,16:25:35,0.8,0.532685,0.207462,0.332045,0.494055,0.183166,60
5,16:26:34,0.866667,0.474147,0.214369,0.342338,0.527574,0.219062,60
6,16:27:33,0.866667,0.361383,0.226204,0.374613,0.561509,0.233289,60
7,16:28:31,0.966667,0.271493,0.235076,0.400766,0.586683,0.264253,60
8,16:29:29,0.916667,0.268619,0.245328,0.432696,0.603383,0.293861,60
9,16:30:29,0.933333,0.168416,0.252449,0.453092,0.615407,0.323437,60
10,16:31:27,0.95,0.1932,0.262034,0.480338,0.624776,0.340361,60
11,16:32:27,0.966667,0.175207,0.268224,0.494714,0.634742,0.357299,60
12,16:33:25,0.95,0.162837,0.273609,0.508402,0.644159,0.368059,60
13,16:34:24,1.0,0.077206,0.276585,0.51497,0.650389,0.378149,60
14,16:35:22,0.95,0.162631,0.28288,0.530064,0.654314,0.389908,60
15,16:36:21,0.883333,0.285904,0.284524,0.534287,0.653202,0.397806,60
16,16:37:19,0.9,0.157886,0.288239,0.542088,0.655882,0.405644,60
17,16:38:17,0.983333,0.074558,0.290526,0.546679,0.659234,0.412031,60
18,16:39:16,0.966667,0.09389,0.293903,0.554354,0.663414,0.418475,60
19,16:40:15,0.983333,0.053251,0.296566,0.559067,0.666977,0.424431,60
20,16:41:14,1.0,0.03105,0.299021,0.565312,0.670005,0.431728,60
