timestamp,uptime_s,device_name,device_suffix,hostname,run_id,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round
16:49:13.793,352.0,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3705,5038,1333,17.98,0
16:49:13.812,352.0,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3602,4886,1284,16.666,1
16:50:07.820,406.0,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3694,5026,1332,11.374,1
16:50:07.840,406.1,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3590,4870,1280,17.436,2
16:51:11.591,469.8,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3694,5026,1332,31.065,2
16:51:11.627,469.8,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3589,4870,1281,32.998,3
16:52:09.730,527.9,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3699,5030,1331,10.757,3
16:52:09.742,528.0,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3580,4858,1278,10.436,4
16:53:07.895,586.1,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3706,5042,1336,10.702,4
16:53:07.911,586.1,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3587,4866,1279,13.267,5
16:54:06.123,644.3,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3689,5018,1329,30.748,5
16:54:06.143,644.4,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3571,4846,1275,17.672,6
16:55:06.460,704.7,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3699,5030,1331,11.564,6
16:55:06.474,704.7,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3580,4858,1278,11.271,7
16:56:04.580,762.8,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3688,5018,1330,18.117,7
16:56:04.602,762.8,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3570,4842,1272,18.244,8
16:57:02.932,821.1,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3693,5022,1329,11.322,8
16:57:02.945,821.2,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3574,4850,1276,10.935,9
16:58:01.050,879.3,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3688,5018,1330,10.797,9
16:58:01.067,879.3,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3570,4842,1272,14.184,10
16:58:59.641,937.9,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3710,5046,1336,11.456,10
16:58:59.655,937.9,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3592,4874,1282,11.516,11
16:59:58.057,996.3,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3687,5014,1327,10.691,11
16:59:58.073,996.3,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3569,4842,1273,13.093,12
17:00:56.476,1054.7,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3687,5014,1327,13.084,12
17:00:56.494,1054.7,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3568,4842,1274,15.061,13
17:01:54.936,1113.1,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3687,5014,1327,11.873,13
17:01:54.953,1113.2,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3568,4842,1274,14.793,14
17:02:53.518,1171.7,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3699,5030,1331,11.206,14
17:02:53.533,1171.7,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3580,4858,1278,12.458,15
17:03:52.211,1230.4,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3695,5026,1331,10.402,15
17:03:52.225,1230.4,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3576,4850,1274,10.091,16
17:04:50.769,1289.0,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3695,5026,1331,14.593,16
17:04:50.782,1289.0,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3579,4854,1275,10.255,17
17:05:49.363,1347.6,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3677,5002,1325,11.58,17
17:05:49.379,1347.6,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3559,4830,1271,12.542,18
17:06:47.877,1406.1,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3666,4986,1320,14.539,18
17:06:47.894,1406.1,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3562,4834,1272,13.383,19
17:07:46.538,1464.8,server_fog,Asus,Asus,3,RPi_leader->PC,decrypt,3651,4966,1315,11.07,19
17:07:46.557,1464.8,server_fog,Asus,Asus,3,PC->RPi_leader,encrypt,3547,4814,1267,15.413,20
