round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,13:15:24,0.816667,0.749245,0.287664,0.291482,0.538437,0.409512
2,13:16:17,0.95,0.196683,0.291975,0.294643,0.552906,0.42536
3,13:17:16,1.0,0.03935,0.29543,0.303511,0.563112,0.436873
4,13:18:15,1.0,0.026397,0.29836,0.309344,0.570041,0.445936
5,13:19:14,1.0,0.007863,0.300718,0.316468,0.575889,0.452048
6,13:24:34,0.9,0.298229,0.2929,0.307786,0.540679,0.450412
7,13:25:32,0.933333,0.188335,0.290636,0.306025,0.524325,0.453923
8,13:26:31,0.883333,0.317702,0.288694,0.297274,0.52283,0.452459
9,13:27:30,0.883333,0.321683,0.287681,0.291775,0.513762,0.44945
10,13:28:29,0.85,0.302328,0.286163,0.288044,0.505984,0.448435
11,13:29:28,0.85,0.286658,0.285389,0.28603,0.507221,0.450344
12,13:30:26,0.9,0.247578,0.285702,0.285048,0.514809,0.456841
13,13:31:25,0.816667,0.341611,0.285563,0.280106,0.515372,0.46132
14,13:32:25,0.983333,0.138784,0.287148,0.285748,0.518502,0.467721
15,13:33:23,0.933333,0.226526,0.287612,0.286353,0.516016,0.476591
16,13:34:22,0.883333,0.255982,0.288558,0.287266,0.514656,0.484185
17,13:35:21,0.85,0.419078,0.287638,0.279184,0.514472,0.484285
18,13:36:20,0.85,0.29296,0.286616,0.274955,0.510176,0.484359
19,13:37:21,0.9,0.190018,0.286846,0.276625,0.509029,0.493124
20,13:40:49,0.933333,0.149011,0.292692,0.285116,0.517797,0.523615
