timestamp,uptime_s,device_name,device_suffix,hostname,run_id,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round,client_id,sample_label,sample_label_name
13:29:07.915,0.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.336,0,esp32_edge_simulator_2,0,normal
13:30:12.209,65.1,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,119,237,118,3.97,0,esp32_edge_normal_1,0,normal
13:30:14.921,67.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,4.087,0,esp32_edge_normal_3,0,normal
13:30:15.057,67.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,113,229,116,1.321,0,esp32_edge_normal_2,0,normal
13:30:17.170,70.0,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,113,229,116,1.354,0,esp32_edge_normal_1,0,normal
13:30:19.923,72.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,1.435,0,esp32_edge_normal_3,0,normal
13:30:20.035,72.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.201,0,esp32_edge_normal_2,0,normal
13:30:22.214,75.1,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.423,0,esp32_edge_normal_1,0,normal
13:30:25.003,77.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.44,0,esp32_edge_normal_3,0,normal
13:30:25.028,77.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,115,233,118,1.395,0,esp32_edge_normal_2,0,normal
13:30:27.175,80.0,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,112,229,117,4.114,0,esp32_edge_normal_1,0,normal
13:30:30.000,82.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,4.1,0,esp32_edge_normal_3,0,normal
13:30:30.041,82.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,3.891,0,esp32_edge_normal_2,0,normal
13:30:32.253,85.1,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,119,237,118,3.977,0,esp32_edge_normal_1,0,normal
13:30:34.927,87.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,4.1,0,esp32_edge_normal_3,0,normal
13:30:35.036,87.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,106,221,115,3.473,0,esp32_edge_normal_2,0,normal
13:30:37.271,90.1,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,115,233,118,3.91,0,esp32_edge_normal_1,0,normal
13:30:39.921,92.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.218,0,esp32_edge_normal_3,0,normal
13:30:40.035,92.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,3.117,0,esp32_edge_normal_2,0,normal
13:30:42.165,95.0,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,3.903,0,esp32_edge_normal_1,0,normal
13:30:44.924,97.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,3.934,0,esp32_edge_normal_3,0,normal
13:30:45.031,97.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,3.476,0,esp32_edge_normal_2,0,normal
13:30:47.172,100.0,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,3.89,0,esp32_edge_normal_1,0,normal
13:30:50.076,102.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,3.975,0,esp32_edge_normal_2,0,normal
13:30:51.577,104.4,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,1.38,0,esp32_edge_normal_3,0,normal
13:30:52.157,105.0,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,119,237,118,1.307,0,esp32_edge_normal_1,0,normal
13:30:54.920,107.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,115,233,118,1.399,0,esp32_edge_normal_3,0,normal
13:30:55.035,107.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,1.453,0,esp32_edge_normal_2,0,normal
13:30:57.159,110.0,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,1.521,0,esp32_edge_normal_1,0,normal
13:30:59.918,112.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.487,0,esp32_edge_normal_3,0,normal
13:31:07.027,119.9,gateway,gateway_A,raspberrypi,2,RPi->PC,encrypt,3633,4926,1293,34.089,0,,,
13:31:07.067,119.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,114,229,115,1.395,0,esp32_edge_normal_2,0,normal
13:31:07.069,119.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.378,0,esp32_edge_normal_1,0,normal
13:31:07.071,119.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,1.441,0,esp32_edge_normal_3,0,normal
13:31:07.074,119.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,1.543,0,esp32_edge_normal_2,0,normal
13:31:07.170,120.0,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,114,229,115,1.374,0,esp32_edge_normal_1,0,normal
13:31:07.382,120.2,gateway,gateway_A,raspberrypi,2,PC->RPi,decrypt,3528,4786,1258,31.357,0,,,
13:31:07.423,120.3,gateway,gateway_A,raspberrypi,2,RPi->ESP32,encrypt,3528,4786,1258,34.836,1,,,
13:31:19.369,132.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,4.307,1,esp32_edge_normal_3,0,normal
13:31:19.838,132.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,4.294,1,esp32_edge_normal_2,0,normal
13:31:19.849,132.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.162,1,esp32_edge_normal_1,0,normal
13:31:24.359,137.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,119,237,118,1.277,1,esp32_edge_normal_3,0,normal
13:31:24.904,137.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,114,229,115,1.298,1,esp32_edge_normal_2,0,normal
13:31:24.907,137.8,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.302,1,esp32_edge_normal_1,0,normal
13:31:29.346,142.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,1.451,1,esp32_edge_normal_3,0,normal
13:31:29.824,142.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,1.369,1,esp32_edge_normal_2,0,normal
13:31:29.841,142.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.445,1,esp32_edge_normal_1,0,normal
13:31:34.357,147.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,4.188,1,esp32_edge_normal_3,0,normal
13:31:34.823,147.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,3.475,1,esp32_edge_normal_2,0,normal
13:31:34.843,147.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,3.391,1,esp32_edge_normal_1,0,normal
13:31:39.346,152.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,115,233,118,3.778,1,esp32_edge_normal_3,0,normal
13:31:39.816,152.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.174,1,esp32_edge_normal_2,0,normal
13:31:39.839,152.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,3.335,1,esp32_edge_normal_1,0,normal
13:31:44.447,157.3,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,3.94,1,esp32_edge_normal_3,0,normal
13:31:44.816,157.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,4.051,1,esp32_edge_normal_2,0,normal
13:31:44.825,157.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,3.936,1,esp32_edge_normal_1,0,normal
13:31:49.464,162.3,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.057,1,esp32_edge_normal_3,0,normal
13:31:49.817,162.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,3.841,1,esp32_edge_normal_2,0,normal
13:31:49.842,162.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,3.853,1,esp32_edge_normal_1,0,normal
13:31:54.346,167.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,1.495,1,esp32_edge_normal_3,0,normal
13:31:54.825,167.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,1.402,1,esp32_edge_normal_2,0,normal
13:31:54.843,167.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.524,1,esp32_edge_normal_1,0,normal
13:31:59.364,172.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,115,233,118,4.209,1,esp32_edge_normal_3,0,normal
13:32:00.329,173.2,gateway,gateway_A,raspberrypi,2,RPi->PC,encrypt,3626,4918,1292,33.389,1,,,
13:32:00.365,173.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,113,229,116,1.569,1,esp32_edge_normal_2,0,normal
13:32:00.368,173.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,114,229,115,1.693,1,esp32_edge_normal_1,0,normal
13:32:00.963,173.8,gateway,gateway_A,raspberrypi,2,PC->RPi,decrypt,3547,4814,1267,32.25,1,,,
13:32:01.004,173.9,gateway,gateway_A,raspberrypi,2,RPi->ESP32,encrypt,3547,4814,1267,34.803,2,,,
13:32:12.837,185.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.224,2,esp32_edge_normal_1,0,normal
13:32:15.366,188.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,114,229,115,4.279,2,esp32_edge_normal_2,0,normal
13:32:15.862,188.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.437,2,esp32_edge_normal_3,0,normal
13:32:17.844,190.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,1.438,2,esp32_edge_normal_1,0,normal
13:32:20.366,193.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,1.446,2,esp32_edge_normal_2,0,normal
13:32:20.889,193.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,4.159,2,esp32_edge_normal_3,0,normal
13:32:22.850,195.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,4.166,2,esp32_edge_normal_1,0,normal
13:32:25.882,198.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,4.204,2,esp32_edge_normal_3,0,normal
13:32:27.187,200.0,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,4.178,2,esp32_edge_normal_2,0,normal
13:32:27.837,200.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,4.188,2,esp32_edge_normal_1,0,normal
13:32:30.370,203.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,4.388,2,esp32_edge_normal_2,0,normal
13:32:30.878,203.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,4.06,2,esp32_edge_normal_3,0,normal
13:32:32.891,205.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.088,2,esp32_edge_normal_1,0,normal
13:32:35.378,208.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,115,233,118,3.854,2,esp32_edge_normal_2,0,normal
13:32:35.878,208.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,3.952,2,esp32_edge_normal_3,0,normal
13:32:37.845,210.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,118,237,119,4.147,2,esp32_edge_normal_1,0,normal
13:32:40.372,213.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,113,229,116,4.365,2,esp32_edge_normal_2,0,normal
13:32:40.869,213.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,4.336,2,esp32_edge_normal_3,0,normal
13:32:42.836,215.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,106,221,115,4.068,2,esp32_edge_normal_1,0,normal
13:32:45.478,218.3,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,4.184,2,esp32_edge_normal_2,0,normal
13:32:45.874,218.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,4.225,2,esp32_edge_normal_3,0,normal
13:32:47.835,220.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.334,2,esp32_edge_normal_1,0,normal
13:32:50.394,223.3,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,4.275,2,esp32_edge_normal_2,0,normal
13:32:50.868,223.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,3.809,2,esp32_edge_normal_3,0,normal
13:32:52.848,225.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,121,241,120,3.522,2,esp32_edge_normal_1,0,normal
13:32:55.365,228.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,3.928,2,esp32_edge_normal_2,0,normal
13:32:55.874,228.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,3.766,2,esp32_edge_normal_3,0,normal
13:32:57.834,230.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,116,233,117,4.027,2,esp32_edge_normal_1,0,normal
13:32:59.000,231.9,gateway,gateway_A,raspberrypi,2,RPi->PC,encrypt,3643,4942,1299,34.503,2,,,
13:33:00.363,233.2,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,115,233,118,1.524,2,esp32_edge_normal_2,0,normal
13:33:00.886,233.7,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,115,233,118,1.441,2,esp32_edge_normal_3,0,normal
13:33:02.084,234.9,gateway,gateway_A,raspberrypi,2,PC->RPi,decrypt,3538,4802,1264,31.761,2,,,
13:33:02.126,235.0,gateway,gateway_A,raspberrypi,2,RPi->ESP32,encrypt,3538,4802,1264,35.766,3,,,
13:33:14.499,247.4,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,4.213,3,esp32_edge_normal_1,0,normal
13:33:14.599,247.5,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,120,237,117,3.885,3,esp32_edge_normal_3,0,normal
13:33:15.025,247.9,gateway,gateway_A,raspberrypi,2,ESP32->RPi,decrypt,117,233,116,3.962,3,esp32_edge_normal_2,0,normal
