timestamp,uptime_s,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round
10:08:20.696,0.8,ESP32->RPi,decrypt,124,245,121,1.608,0
10:08:56.225,36.3,ESP32->RPi,decrypt,81,185,104,3.25,0
10:08:56.271,36.4,ESP32->RPi,decrypt,120,237,117,4.207,0
10:08:56.464,36.5,ESP32->RPi,decrypt,123,241,118,2.258,0
10:09:01.234,41.3,ESP32->RPi,decrypt,113,229,116,3.954,0
10:09:01.277,41.4,ESP32->RPi,decrypt,117,233,116,4.383,0
10:09:01.497,41.6,ESP32->RPi,decrypt,112,229,117,1.347,0
10:09:06.331,46.4,ESP32->RPi,decrypt,119,237,118,1.349,0
10:09:06.334,46.4,ESP32->RPi,decrypt,120,237,117,1.375,0
10:09:06.464,46.5,ESP32->RPi,decrypt,122,241,119,4.193,0
10:09:11.229,51.3,ESP32->RPi,decrypt,105,217,112,3.83,0
10:09:11.281,51.4,ESP32->RPi,decrypt,121,241,120,3.49,0
10:09:11.483,51.6,ESP32->RPi,decrypt,119,237,118,3.504,0
10:09:16.226,56.3,ESP32->RPi,decrypt,107,221,114,1.384,0
10:09:16.275,56.4,ESP32->RPi,decrypt,116,233,117,1.462,0
10:09:16.498,56.6,ESP32->RPi,decrypt,120,237,117,1.517,0
10:09:21.215,61.3,ESP32->RPi,decrypt,116,233,117,3.345,0
10:09:21.306,61.4,ESP32->RPi,decrypt,117,233,116,3.272,0
10:09:21.480,61.6,ESP32->RPi,decrypt,105,217,112,2.477,0
10:09:26.225,66.3,ESP32->RPi,decrypt,123,241,118,4.176,0
10:09:26.356,66.4,ESP32->RPi,decrypt,116,233,117,2.39,0
10:09:26.534,66.6,ESP32->RPi,decrypt,111,225,114,3.776,0
10:09:31.223,71.3,ESP32->RPi,decrypt,119,237,118,4.24,0
10:09:31.269,71.4,ESP32->RPi,decrypt,107,221,114,3.008,0
10:09:31.490,71.6,ESP32->RPi,decrypt,108,221,113,3.986,0
10:09:36.223,76.3,ESP32->RPi,decrypt,113,229,116,3.66,0
10:09:36.280,76.4,ESP32->RPi,decrypt,118,237,119,3.886,0
10:09:36.514,76.6,ESP32->RPi,decrypt,101,213,112,3.473,0
10:09:41.253,81.3,ESP32->RPi,decrypt,114,229,115,4.058,0
10:09:41.275,81.4,ESP32->RPi,decrypt,117,233,116,4.119,0
10:09:48.227,88.3,RPi->PC,encrypt,3639,4934,1295,34.516,0
10:09:48.342,88.4,ESP32->RPi,decrypt,122,241,119,1.619,0
10:09:48.344,88.4,ESP32->RPi,decrypt,108,221,113,1.308,0
10:09:48.346,88.4,ESP32->RPi,decrypt,121,241,120,1.451,0
10:09:48.348,88.4,ESP32->RPi,decrypt,123,241,118,1.379,0
10:09:48.840,88.9,PC->RPi,decrypt,3535,4798,1263,30.722,0
10:09:48.881,89.0,RPi->ESP32,encrypt,3535,4798,1263,33.632,1
10:10:01.737,101.8,ESP32->RPi,decrypt,117,233,116,4.151,1
10:10:01.769,101.8,ESP32->RPi,decrypt,81,185,104,2.546,1
10:10:01.797,101.9,ESP32->RPi,decrypt,120,237,117,3.638,1
10:10:06.749,106.8,ESP32->RPi,decrypt,117,233,116,1.504,1
10:10:06.776,106.9,ESP32->RPi,decrypt,120,237,117,1.673,1
10:10:06.824,106.9,ESP32->RPi,decrypt,110,225,115,1.324,1
10:10:11.740,111.8,ESP32->RPi,decrypt,117,233,116,4.231,1
10:10:11.791,111.9,ESP32->RPi,decrypt,108,221,113,4.257,1
10:10:11.809,111.9,ESP32->RPi,decrypt,122,241,119,4.416,1
10:10:16.734,116.8,ESP32->RPi,decrypt,117,233,116,1.381,1
10:10:16.761,116.8,ESP32->RPi,decrypt,118,237,119,1.46,1
10:10:16.814,116.9,ESP32->RPi,decrypt,111,225,114,2.23,1
10:10:21.805,121.9,ESP32->RPi,decrypt,120,237,117,4.909,1
10:10:21.855,121.9,ESP32->RPi,decrypt,113,229,116,3.909,1
10:10:21.860,121.9,ESP32->RPi,decrypt,113,229,116,3.612,1
10:10:26.738,126.8,ESP32->RPi,decrypt,119,237,118,1.417,1
10:10:26.768,126.8,ESP32->RPi,decrypt,122,241,119,1.452,1
10:10:26.858,126.9,ESP32->RPi,decrypt,81,185,104,1.179,1
10:10:31.732,131.8,ESP32->RPi,decrypt,114,229,115,4.208,1
10:10:31.768,131.8,ESP32->RPi,decrypt,117,233,116,4.118,1
10:10:31.811,131.9,ESP32->RPi,decrypt,110,225,115,2.049,1
10:10:36.751,136.8,ESP32->RPi,decrypt,121,241,120,1.455,1
10:10:36.770,136.9,ESP32->RPi,decrypt,108,221,113,1.406,1
10:10:36.787,136.9,ESP32->RPi,decrypt,121,241,120,1.452,1
10:10:41.769,141.8,ESP32->RPi,decrypt,117,233,116,1.409,1
10:10:41.773,141.9,ESP32->RPi,decrypt,123,241,118,1.416,1
10:10:42.788,142.9,RPi->PC,encrypt,3634,4930,1296,45.096,1
10:10:42.973,143.1,PC->RPi,decrypt,3529,4790,1261,32.687,1
10:10:43.015,143.1,RPi->ESP32,encrypt,3529,4790,1261,35.799,2
10:10:43.028,143.1,ESP32->RPi,decrypt,119,237,118,1.669,2
10:10:55.494,155.6,ESP32->RPi,decrypt,115,233,118,4.435,2
10:10:55.942,156.0,ESP32->RPi,decrypt,109,225,116,4.191,2
10:10:55.957,156.0,ESP32->RPi,decrypt,113,229,116,4.472,2
10:11:00.400,160.5,ESP32->RPi,decrypt,117,233,116,4.33,2
10:11:00.953,161.0,ESP32->RPi,decrypt,116,233,117,4.213,2
10:11:00.958,161.0,ESP32->RPi,decrypt,123,241,118,4.225,2
10:11:05.403,165.5,ESP32->RPi,decrypt,115,233,118,3.9,2
10:11:05.964,166.0,ESP32->RPi,decrypt,122,241,119,4.112,2
10:11:05.975,166.1,ESP32->RPi,decrypt,107,221,114,3.662,2
10:11:10.446,170.5,ESP32->RPi,decrypt,113,229,116,3.817,2
10:11:10.943,171.0,ESP32->RPi,decrypt,81,185,104,3.106,2
10:11:10.982,171.1,ESP32->RPi,decrypt,81,185,104,3.111,2
10:11:15.412,175.5,ESP32->RPi,decrypt,116,233,117,1.382,2
10:11:15.945,176.0,ESP32->RPi,decrypt,108,221,113,1.304,2
10:11:15.952,176.0,ESP32->RPi,decrypt,120,237,117,1.415,2
10:11:20.405,180.5,ESP32->RPi,decrypt,121,241,120,1.499,2
10:11:20.939,181.0,ESP32->RPi,decrypt,109,225,116,1.214,2
10:11:20.961,181.0,ESP32->RPi,decrypt,109,225,116,1.257,2
10:11:25.501,185.6,ESP32->RPi,decrypt,121,241,120,4.134,2
10:11:26.021,186.1,ESP32->RPi,decrypt,81,185,104,3.016,2
10:11:26.026,186.1,ESP32->RPi,decrypt,108,221,113,3.633,2
10:11:30.411,190.5,ESP32->RPi,decrypt,117,233,116,3.401,2
10:11:30.937,191.0,ESP32->RPi,decrypt,123,241,118,1.381,2
10:11:30.962,191.0,ESP32->RPi,decrypt,113,229,116,1.384,2
10:11:35.398,195.5,ESP32->RPi,decrypt,119,237,118,1.468,2
10:11:35.962,196.0,ESP32->RPi,decrypt,108,221,113,4.029,2
