timestamp,uptime_s,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round
17:09:24.026,171.5,RPi->PC,decrypt,3655,4974,1319,16.972,0
17:09:58.849,206.3,RPi->PC,decrypt,3633,4942,1309,21.038,0
17:09:58.865,206.3,PC->RPi,encrypt,3539,4802,1263,13.867,1
17:10:36.799,244.3,RPi->PC,decrypt,3643,4958,1315,27.185,1
17:11:48.720,316.2,RPi->PC,decrypt,3634,4946,1312,19.064,1
17:11:48.743,316.2,PC->RPi,encrypt,3538,4802,1264,20.63,2
17:12:41.754,369.2,RPi->PC,decrypt,3629,4938,1309,10.742,2
17:13:01.377,388.9,RPi->PC,decrypt,3636,4946,1310,20.595,2
17:13:01.399,388.9,PC->RPi,encrypt,3534,4794,1260,20.681,3
17:14:20.901,468.4,RPi->PC,decrypt,3643,4958,1315,34.297,3
17:15:19.380,526.9,RPi->PC,decrypt,3646,4962,1316,33.965,3
17:15:19.407,526.9,PC->RPi,encrypt,3536,4798,1262,24.298,4
17:15:57.598,565.1,RPi->PC,decrypt,3650,4966,1316,18.625,4
17:17:27.924,655.4,RPi->PC,decrypt,3631,4942,1311,31.439,4
17:17:27.946,655.4,PC->RPi,encrypt,3532,4794,1262,19.786,5
17:18:05.941,693.4,RPi->PC,decrypt,3648,4962,1314,22.544,5
17:18:47.606,735.1,RPi->PC,decrypt,3628,4938,1310,27.039,5
17:18:47.620,735.1,PC->RPi,encrypt,3520,4778,1258,12.413,6
17:20:25.315,832.8,RPi->PC,decrypt,3635,4946,1311,88.994,6
17:20:45.651,853.1,RPi->PC,decrypt,3629,4938,1309,13.034,6
17:20:45.664,853.1,PC->RPi,encrypt,3532,4794,1262,11.67,7
17:21:58.562,926.0,RPi->PC,decrypt,3646,4962,1316,15.461,7
17:23:03.558,991.0,RPi->PC,decrypt,3638,4950,1312,23.8,7
17:23:03.591,991.1,PC->RPi,encrypt,3524,4782,1258,31.123,8
17:23:31.612,1019.1,RPi->PC,decrypt,3636,4946,1310,19.768,8
17:24:31.759,1079.2,RPi->PC,decrypt,3641,4954,1313,11.054,8
17:24:31.785,1079.3,PC->RPi,encrypt,3529,4790,1261,24.725,9
17:25:51.219,1158.7,RPi->PC,decrypt,3639,4950,1311,15.45,9
17:26:09.819,1177.3,RPi->PC,decrypt,3637,4950,1313,18.147,9
17:26:09.834,1177.3,PC->RPi,encrypt,3542,4806,1264,14.24,10
17:27:17.967,1245.4,RPi->PC,decrypt,3646,4962,1316,26.761,10
