round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,13:50:19,0.766667,0.8835,0.289468,0.290076,0.541221,0.411937
2,13:51:13,0.966667,0.09832,0.295834,0.293839,0.559409,0.429767
3,13:52:11,1.0,0.024906,0.299866,0.303022,0.57221,0.438654
4,13:53:10,1.0,0.016364,0.302028,0.309503,0.579141,0.444569
5,13:54:09,1.0,0.013924,0.303532,0.315802,0.583738,0.448311
6,13:58:09,0.866667,0.343487,0.293127,0.30348,0.555268,0.439141
7,13:59:07,0.733333,0.533753,0.287601,0.286461,0.541218,0.43298
8,14:00:06,0.9,0.346192,0.287952,0.28531,0.539267,0.433238
9,14:01:06,0.916667,0.317337,0.287149,0.281563,0.539803,0.435681
10,14:02:05,0.85,0.356728,0.286298,0.279616,0.542288,0.436229
11,14:03:04,0.933333,0.222868,0.286784,0.275143,0.545001,0.439045
12,14:04:03,0.95,0.187052,0.284898,0.275936,0.54382,0.438017
13,14:05:01,0.9,0.249922,0.285106,0.274194,0.546823,0.439512
14,14:06:00,0.933333,0.149882,0.286966,0.273043,0.551118,0.440855
15,14:06:59,0.966667,0.21286,0.287573,0.270798,0.552745,0.44367
16,14:07:58,0.866667,0.255017,0.288528,0.266236,0.550676,0.447366
17,14:08:57,0.883333,0.264651,0.288499,0.265681,0.5518,0.449455
18,14:10:45,0.833333,0.394302,0.28889,0.261628,0.55329,0.451103
19,14:11:44,0.966667,0.117956,0.289196,0.264449,0.551898,0.454896
20,14:12:43,0.95,0.158243,0.290623,0.264206,0.554527,0.457811
21,14:13:41,0.933333,0.145752,0.290254,0.264239,0.556212,0.460303
22,14:14:40,0.966667,0.132259,0.29038,0.26486,0.559016,0.460283
