round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,00:53:37,0.733333,0.858126,0.288848,0.292186,0.539381,0.408555,60
2,00:54:32,0.916667,0.205928,0.293576,0.296666,0.554718,0.426251,60
3,00:55:30,1.0,0.045253,0.297318,0.30858,0.562832,0.439511,60
4,00:56:29,1.0,0.021948,0.299598,0.314316,0.568383,0.447861,60
5,00:57:28,1.0,0.017994,0.301232,0.318588,0.57256,0.453631,60
6,00:58:56,0.933333,0.169881,0.296474,0.317445,0.553815,0.449515,60
7,00:59:54,0.85,0.357606,0.295673,0.315913,0.544301,0.453856,60
8,01:00:55,0.966667,0.124189,0.296945,0.318884,0.548585,0.458025,60
9,01:01:54,0.933333,0.130759,0.297816,0.317536,0.55034,0.460752,60
10,01:02:52,0.95,0.094415,0.298196,0.318013,0.553906,0.46181,60
11,01:03:52,0.866667,0.373334,0.299219,0.317306,0.55475,0.4646,60
12,01:04:51,1.0,0.023081,0.299756,0.317483,0.555983,0.466674,60
13,01:05:50,0.966667,0.07465,0.300913,0.321606,0.559229,0.469918,60
14,01:06:49,1.0,0.030015,0.301426,0.317769,0.559423,0.471909,60
15,01:07:50,0.983333,0.066839,0.302125,0.316285,0.560045,0.474803,60
16,01:08:49,0.966667,0.083067,0.302876,0.318517,0.561811,0.477415,60
17,01:09:48,0.95,0.229773,0.302821,0.316278,0.564152,0.47913,60
18,01:10:47,0.983333,0.066328,0.30338,0.315674,0.565572,0.48192,60
19,01:11:46,0.966667,0.083263,0.303716,0.313364,0.566744,0.481492,60
20,01:12:45,0.983333,0.047601,0.304046,0.309896,0.569438,0.481181,60
