round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,14:42:44,0.666667,0.980691,0.287749,0.290924,0.535652,0.41067,60
2,14:43:37,0.933333,0.212312,0.291749,0.295974,0.550254,0.429194,60
3,14:44:36,0.983333,0.077202,0.295285,0.306091,0.558854,0.441196,60
4,14:45:35,1.0,0.014514,0.297523,0.310557,0.563651,0.449094,60
5,14:46:35,1.0,0.011003,0.298988,0.313779,0.567365,0.454204,60
6,14:50:45,0.85,0.745828,0.290133,0.302893,0.548519,0.443126,60
7,14:51:44,0.85,0.299323,0.286493,0.291518,0.54708,0.433947,60
8,14:52:44,0.866667,0.349915,0.285786,0.286819,0.53851,0.437128,60
9,14:53:45,0.85,0.398243,0.284914,0.282018,0.527193,0.44194,60
10,14:54:44,0.8,0.421882,0.284429,0.281093,0.522173,0.445461,60
11,14:55:44,0.883333,0.268228,0.28446,0.277956,0.521021,0.450797,60
12,14:56:43,0.95,0.227687,0.286386,0.278603,0.525701,0.45228,60
13,14:57:43,0.95,0.283499,0.287451,0.281416,0.526805,0.454881,60
14,14:58:42,0.883333,0.356405,0.287134,0.276257,0.530427,0.45794,60
15,14:59:42,0.883333,0.231344,0.287229,0.272059,0.530193,0.46076,60
16,15:00:41,0.983333,0.080164,0.287835,0.277333,0.530009,0.461385,60
17,15:01:41,0.983333,0.071114,0.289601,0.283219,0.533068,0.46444,60
18,15:02:40,0.95,0.127595,0.290647,0.283952,0.535015,0.469269,60
19,15:03:39,0.983333,0.071734,0.29205,0.282698,0.536168,0.473158,60
20,15:04:39,1.0,0.042478,0.292665,0.287629,0.534136,0.475837,60
