timestamp,uptime_s,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round
19:04:17.259,108.1,RPi->PC,decrypt,3633,4942,1309,10.862,0
19:04:19.608,110.5,RPi->PC,decrypt,3627,4934,1307,12.041,0
19:04:19.620,110.5,PC->RPi,encrypt,3531,4790,1259,10.408,1
19:05:28.728,179.6,RPi->PC,decrypt,3644,4958,1314,11.082,1
19:05:33.894,184.8,RPi->PC,decrypt,3631,4942,1311,13.73,1
19:05:33.910,184.8,PC->RPi,encrypt,3547,4814,1267,15.111,2
19:06:44.918,255.8,RPi->PC,decrypt,3643,4958,1315,16.193,2
19:06:49.511,260.4,RPi->PC,decrypt,3638,4950,1312,13.259,2
19:06:49.531,260.4,PC->RPi,encrypt,3521,4778,1257,18.078,3
19:08:03.768,334.6,RPi->PC,decrypt,3650,4966,1316,12.509,3
19:08:10.809,341.7,RPi->PC,decrypt,3635,4946,1311,13.43,3
19:08:10.822,341.7,PC->RPi,encrypt,3533,4794,1261,11.704,4
19:09:20.440,411.3,RPi->PC,decrypt,3637,4950,1313,11.586,4
19:09:25.362,416.2,RPi->PC,decrypt,3629,4938,1309,14.331,4
19:09:25.375,416.2,PC->RPi,encrypt,3534,4794,1260,10.749,5
19:10:39.613,490.5,RPi->PC,decrypt,3640,4954,1314,15.599,5
19:10:46.651,497.5,RPi->PC,decrypt,3618,4922,1304,10.711,5
19:10:46.664,497.5,PC->RPi,encrypt,3525,4782,1257,11.592,6
19:11:56.239,567.1,RPi->PC,decrypt,3630,4938,1308,14.479,6
19:12:02.201,573.1,RPi->PC,decrypt,3618,4922,1304,12.782,6
19:12:02.215,573.1,PC->RPi,encrypt,3529,4790,1261,12.398,7
19:13:15.801,646.7,RPi->PC,decrypt,3629,4938,1309,13.729,7
19:13:20.861,651.7,RPi->PC,decrypt,3641,4954,1313,12.129,7
19:13:20.876,651.7,PC->RPi,encrypt,3529,4790,1261,13.862,8
19:14:32.421,723.3,RPi->PC,decrypt,3631,4942,1311,11.415,8
19:14:37.258,728.1,RPi->PC,decrypt,3641,4954,1313,11.864,8
19:14:37.273,728.1,PC->RPi,encrypt,3530,4790,1260,13.252,9
19:15:50.649,801.5,RPi->PC,decrypt,3626,4934,1308,11.849,9
19:15:53.724,804.6,RPi->PC,decrypt,3622,4930,1308,12.7,9
19:15:53.737,804.6,PC->RPi,encrypt,3529,4790,1261,11.788,10
19:17:09.070,879.9,RPi->PC,decrypt,3643,4958,1315,16.936,10
19:17:12.491,883.4,RPi->PC,decrypt,3649,4966,1317,12.645,10
19:17:12.503,883.4,PC->RPi,encrypt,3531,4790,1259,10.677,11
19:18:24.160,955.0,RPi->PC,decrypt,3625,4934,1309,14.121,11
19:18:27.161,958.0,RPi->PC,decrypt,3634,4946,1312,16.187,11
