round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,20:23:45,0.783333,0.769437,0.163633,0.28684,0.255544,0.280378
2,20:24:29,0.75,0.744229,0.174343,0.301806,0.279422,0.29781
3,20:25:18,0.683333,0.735258,0.185708,0.308026,0.305905,0.312918
4,20:26:08,0.75,0.618457,0.19718,0.309724,0.35056,0.328987
5,20:26:58,0.783333,0.567405,0.207755,0.309081,0.389756,0.341596
6,20:27:49,0.816667,0.491991,0.216008,0.310504,0.41294,0.357789
7,20:28:39,0.766667,0.519496,0.223656,0.319108,0.434327,0.370006
8,20:29:29,0.783333,0.53677,0.227753,0.32545,0.448131,0.380152
9,20:30:18,0.783333,0.446357,0.232365,0.327745,0.457572,0.397233
10,20:31:09,0.716667,0.579481,0.235026,0.331307,0.470052,0.418303
11,20:31:59,0.766667,0.504064,0.240164,0.336572,0.478063,0.447215
12,20:32:49,0.816667,0.396949,0.24575,0.346707,0.488566,0.468392
13,20:33:39,0.866667,0.35842,0.253171,0.358988,0.498823,0.490924
14,20:34:29,0.8,0.42635,0.258442,0.368974,0.500746,0.507985
15,20:35:19,0.883333,0.344077,0.260015,0.369653,0.502866,0.521383
16,20:36:08,0.783333,0.403012,0.261685,0.376834,0.511881,0.527823
17,20:36:59,0.833333,0.360211,0.264277,0.385355,0.51924,0.533222
18,20:37:49,0.933333,0.188042,0.267618,0.392416,0.522841,0.547554
19,20:38:39,0.866667,0.314678,0.27195,0.401053,0.529369,0.556234
20,20:39:29,0.833333,0.314242,0.275957,0.404583,0.53487,0.564242
