round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,18:55:57,0.983333,0.57683,0.17711,0.2366,0.136957,0.257053
2,18:56:41,1.0,0.15177,0.189606,0.284546,0.191768,0.286335
3,18:57:36,1.0,0.020879,0.199263,0.314504,0.225092,0.307062
4,18:58:28,0.9,0.410648,0.198927,0.30428,0.222706,0.298985
5,18:59:18,0.916667,0.28444,0.200184,0.292137,0.227027,0.283439
6,19:00:08,0.95,0.211556,0.204447,0.287573,0.240476,0.282221
7,19:00:58,0.983333,0.10481,0.209426,0.283927,0.251934,0.290549
8,19:01:48,0.933333,0.19824,0.213716,0.278755,0.259414,0.288725
9,19:02:38,0.95,0.168906,0.218044,0.276127,0.271321,0.287275
10,19:03:28,0.966667,0.131026,0.221601,0.278761,0.272789,0.297925
11,19:04:18,0.966667,0.096001,0.224645,0.281084,0.277852,0.30087
12,19:05:07,0.95,0.1301,0.228687,0.279976,0.28674,0.298793
13,19:05:58,0.966667,0.096665,0.231775,0.283901,0.285082,0.308328
14,19:06:48,0.95,0.095941,0.234748,0.281815,0.286135,0.309252
15,19:07:38,0.966667,0.058803,0.238051,0.284004,0.287325,0.315403
16,19:08:28,0.983333,0.051804,0.241448,0.288142,0.287224,0.317076
17,19:09:18,1.0,0.032936,0.243691,0.292214,0.29012,0.322803
18,19:10:08,0.95,0.106714,0.246162,0.293427,0.288322,0.324467
19,19:10:58,0.95,0.100058,0.247473,0.285472,0.280186,0.335352
20,19:11:48,1.0,0.033554,0.247232,0.292985,0.289299,0.330808
