round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,21:20:01,1.0,0.577967,0.167989,0.214779,0.400194,0.303754,60
2,21:20:45,1.0,0.334988,0.187521,0.239362,0.432998,0.34318,60
3,21:21:35,1.0,0.049561,0.21033,0.276712,0.467447,0.378779,60
4,21:22:31,0.933333,0.175413,0.216372,0.285377,0.467273,0.390846,60
5,21:23:21,0.9,0.339156,0.212256,0.275527,0.468924,0.390197,60
6,21:24:11,0.916667,0.206295,0.212958,0.26671,0.477036,0.395241,60
7,21:25:01,0.916667,0.231918,0.218017,0.267276,0.493192,0.405148,60
8,21:25:51,0.916667,0.216054,0.223086,0.262635,0.509654,0.413584,60
9,21:26:41,0.916667,0.19496,0.226851,0.259632,0.530162,0.422726,60
10,21:27:31,0.966667,0.163158,0.234688,0.265929,0.554842,0.434668,60
11,21:28:21,0.9,0.232163,0.237812,0.259478,0.576979,0.446795,60
12,21:29:11,0.983333,0.102288,0.246535,0.268641,0.591278,0.459017,60
13,21:30:01,0.916667,0.202048,0.250393,0.263804,0.601976,0.470424,60
14,21:30:51,0.9,0.193581,0.254861,0.260639,0.614355,0.485363,60
15,21:31:41,0.916667,0.158631,0.261622,0.266012,0.626732,0.500321,60
16,21:32:31,0.9,0.171549,0.267787,0.270742,0.636697,0.511794,60
17,21:33:21,0.933333,0.162017,0.274641,0.276338,0.645004,0.521212,60
18,21:34:11,0.916667,0.137833,0.277669,0.279121,0.652149,0.532342,60
19,21:35:01,0.966667,0.099221,0.282744,0.284378,0.660616,0.547243,60
20,21:35:51,0.966667,0.070961,0.288544,0.28958,0.66808,0.557322,60
