round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,21:46:08,1.0,0.71673,0.171249,0.397567,0.292709,0.18399,60
2,21:46:51,1.0,0.345879,0.185434,0.460849,0.285537,0.18441,60
3,21:47:41,1.0,0.056204,0.206465,0.520588,0.286912,0.217458,60
4,21:51:40,0.85,0.490737,0.203052,0.49544,0.286195,0.212083,60
5,21:52:31,0.783333,0.597727,0.195543,0.457446,0.298315,0.211329,60
6,21:53:21,0.9,0.352813,0.199965,0.464336,0.317383,0.233295,60
7,21:54:11,0.916667,0.302124,0.207389,0.481432,0.336624,0.249845,60
8,21:55:01,0.883333,0.350867,0.213785,0.485873,0.349823,0.270292,60
9,21:55:50,0.883333,0.332973,0.219831,0.491296,0.365371,0.291328,60
10,21:56:41,0.883333,0.341152,0.227216,0.498367,0.384222,0.312186,60
11,21:57:31,0.75,0.418025,0.23203,0.487991,0.396355,0.344077,60
12,21:58:21,0.9,0.228112,0.239525,0.503278,0.416519,0.358137,60
13,21:59:11,0.866667,0.268154,0.243542,0.499846,0.428163,0.38313,60
14,22:00:01,0.933333,0.139245,0.248884,0.509316,0.440399,0.400103,60
15,22:00:51,0.95,0.156583,0.252237,0.517609,0.453262,0.411539,60
16,22:01:41,0.883333,0.182881,0.253374,0.506072,0.456956,0.429345,60
17,22:02:31,0.9,0.136429,0.255624,0.506419,0.467696,0.447871,60
18,22:03:21,0.916667,0.194724,0.258952,0.502782,0.479732,0.470973,60
19,22:04:11,0.95,0.144956,0.263279,0.509584,0.490817,0.484743,60
20,22:05:01,0.95,0.137464,0.267754,0.514538,0.500899,0.499642,60
