round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,11:01:32,0.766667,0.75793,0.289021,0.292063,0.541493,0.408308
2,11:02:15,0.916667,0.216451,0.293653,0.297098,0.557252,0.425032
3,11:03:05,1.0,0.034624,0.297053,0.308189,0.566097,0.441603
4,11:03:55,0.983333,0.049312,0.299833,0.31302,0.571743,0.450171
5,11:04:47,1.0,0.017993,0.30161,0.318605,0.5759,0.455632
6,11:05:45,0.916667,0.267355,0.300705,0.316133,0.562138,0.457309
7,11:06:35,0.85,0.30032,0.295175,0.308529,0.534002,0.449747
8,11:07:25,0.916667,0.218731,0.294836,0.306865,0.526026,0.448929
9,11:08:15,0.866667,0.332709,0.294721,0.309135,0.52307,0.45122
10,11:09:05,0.883333,0.391117,0.294705,0.303266,0.522385,0.454961
11,11:09:55,0.833333,0.334581,0.294652,0.299231,0.517261,0.459821
12,11:10:45,0.916667,0.177451,0.296102,0.30039,0.519273,0.463742
13,11:11:35,0.933333,0.14689,0.297157,0.301446,0.521595,0.468885
14,11:12:25,0.833333,0.374572,0.297633,0.298329,0.521363,0.473221
15,11:13:15,0.9,0.259023,0.296821,0.298555,0.519489,0.474167
16,11:14:05,0.883333,0.280932,0.296813,0.302727,0.521902,0.478052
17,11:14:55,0.883333,0.300799,0.29744,0.300866,0.523293,0.480639
18,11:15:45,0.85,0.346945,0.29591,0.28828,0.525174,0.477415
19,11:16:35,0.866667,0.267339,0.295934,0.285316,0.534162,0.477942
20,11:17:25,0.916667,0.172423,0.295019,0.29382,0.530794,0.483395
21,11:18:15,0.983333,0.091127,0.295801,0.300609,0.530026,0.487704
22,11:19:05,0.966667,0.088333,0.296986,0.303696,0.531532,0.493125
23,11:19:55,0.9,0.282086,0.295752,0.298132,0.533404,0.490088
24,11:20:44,0.966667,0.146367,0.295896,0.293842,0.535936,0.487461
25,11:21:35,0.9,0.2324,0.296405,0.287352,0.541005,0.486886
26,11:22:25,0.933333,0.106287,0.296518,0.282164,0.544352,0.487326
27,11:23:15,0.95,0.137908,0.29722,0.286273,0.54132,0.487521
28,11:24:05,0.933333,0.143343,0.297701,0.287198,0.54568,0.492665
29,11:24:55,0.933333,0.221245,0.298474,0.289595,0.550262,0.496461
30,11:25:45,0.866667,0.261434,0.297602,0.28501,0.553651,0.493408
