round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,15:43:51,0.75,0.791782,0.286486,0.290619,0.544352,0.410705,60
2,15:44:35,0.933333,0.1985,0.289365,0.295399,0.561371,0.4286,60
3,15:45:25,1.0,0.038842,0.293874,0.306507,0.571605,0.444819,60
4,15:46:15,1.0,0.044168,0.296118,0.313035,0.578227,0.454775,60
5,15:47:05,0.983333,0.032681,0.297445,0.317425,0.582291,0.460306,60
6,15:55:37,0.766667,0.827521,0.288217,0.30319,0.559385,0.445556,60
7,15:56:30,0.866667,0.402206,0.285743,0.299912,0.544907,0.443418,60
8,15:57:20,0.833333,0.43747,0.286776,0.295252,0.537575,0.4498,60
9,15:58:10,0.866667,0.250309,0.287233,0.288068,0.535603,0.464914,60
10,15:59:01,0.9,0.2387,0.287621,0.286929,0.533837,0.470586,60
11,15:59:50,0.916667,0.215249,0.289085,0.293584,0.534971,0.474153,60
12,16:00:40,0.95,0.14757,0.290057,0.293824,0.533319,0.480837,60
13,16:01:30,0.9,0.257219,0.290753,0.29115,0.536081,0.484802,60
14,16:02:20,0.883333,0.287029,0.290969,0.286685,0.536614,0.491641,60
15,16:03:10,0.883333,0.261073,0.291014,0.286886,0.541119,0.491862,60
16,16:04:00,0.933333,0.175764,0.291731,0.290448,0.54482,0.495974,60
17,16:04:51,0.983333,0.094601,0.294349,0.293342,0.54972,0.502809,60
18,16:05:40,0.983333,0.083535,0.294423,0.297881,0.548948,0.508838,60
19,16:06:30,0.95,0.117114,0.294571,0.301256,0.548462,0.511515,60
20,16:07:20,0.9,0.184788,0.294187,0.299942,0.548954,0.514694,60
