round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,16:27:43,0.75,0.735837,0.288389,0.29114,0.541923,0.410128,60
2,16:28:27,0.983333,0.10888,0.293377,0.294898,0.558619,0.431191,60
3,16:29:17,0.983333,0.060715,0.297372,0.303565,0.569356,0.444021,60
4,16:30:07,1.0,0.016886,0.299991,0.308304,0.575736,0.450935,60
5,16:30:57,1.0,0.023264,0.301695,0.314555,0.58032,0.455291,60
6,16:33:30,0.9,0.232083,0.296889,0.310589,0.572479,0.449749,60
7,16:34:20,0.95,0.15071,0.29376,0.307247,0.563909,0.449488,60
8,16:35:10,0.9,0.268364,0.293673,0.306571,0.563687,0.448266,60
9,16:36:00,0.933333,0.114642,0.294099,0.307512,0.565741,0.450319,60
10,16:36:50,0.85,0.239372,0.29551,0.306873,0.566589,0.45377,60
11,16:37:40,0.9,0.193802,0.296233,0.30666,0.563146,0.458398,60
12,16:38:30,0.933333,0.161632,0.296329,0.308118,0.565052,0.46212,60
13,16:39:20,0.95,0.097757,0.297115,0.310396,0.56473,0.465446,60
14,16:40:10,0.933333,0.126503,0.296904,0.312104,0.567112,0.46501,60
15,16:41:00,0.916667,0.104961,0.297619,0.31304,0.565364,0.468252,60
16,16:41:50,0.95,0.080439,0.297441,0.314075,0.565744,0.470216,60
17,16:42:40,0.95,0.12345,0.296295,0.307029,0.5663,0.471199,60
18,16:43:30,0.966667,0.175077,0.296403,0.303908,0.568047,0.4733,60
19,16:44:20,1.0,0.029144,0.295844,0.302389,0.570644,0.473523,60
20,16:45:10,0.933333,0.146945,0.296471,0.302464,0.570343,0.477557,60
