round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,12:24:15,0.75,0.943313,0.28723,0.290831,0.539495,0.412302
2,12:24:59,0.983333,0.088724,0.29175,0.296146,0.55591,0.432271
3,12:25:49,1.0,0.030921,0.295746,0.304916,0.563657,0.443603
4,12:26:39,0.983333,0.029891,0.297998,0.30886,0.568261,0.451314
5,12:27:36,1.0,0.012719,0.299601,0.31389,0.571768,0.455808
6,12:28:26,0.933333,0.18337,0.295985,0.31198,0.565446,0.454858
7,12:29:17,0.9,0.212391,0.294829,0.30952,0.565626,0.45011
8,12:30:06,0.933333,0.154594,0.294731,0.30808,0.565187,0.453238
9,12:30:56,0.95,0.156005,0.295506,0.307088,0.565261,0.460922
10,12:31:46,0.916667,0.222751,0.296138,0.308084,0.565704,0.463432
11,12:32:37,0.983333,0.085714,0.296709,0.311082,0.567136,0.462187
12,12:33:27,0.933333,0.160071,0.296989,0.311458,0.57003,0.463141
13,12:34:16,0.983333,0.075121,0.297775,0.313274,0.571234,0.465399
14,12:35:06,0.916667,0.166431,0.297929,0.308676,0.572639,0.466609
15,12:35:56,0.966667,0.08769,0.298985,0.309221,0.575184,0.472828
16,12:36:46,0.966667,0.090604,0.298355,0.307647,0.571522,0.473211
17,12:37:36,0.883333,0.165605,0.298272,0.309156,0.571578,0.475143
18,12:38:26,0.983333,0.053225,0.29888,0.310978,0.572202,0.47558
19,12:39:16,0.933333,0.117985,0.299705,0.312885,0.573145,0.47756
20,12:40:06,0.933333,0.103459,0.300575,0.314494,0.57444,0.478459
