timestamp,uptime_s,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round
19:20:59.234,1.0,RPi->PC,decrypt,183,292,109,2.679,0
19:21:03.203,5.0,RPi->PC,decrypt,183,292,109,1.829,0
19:21:08.173,10.0,RPi->PC,decrypt,184,296,112,1.193,0
19:21:08.734,10.5,RPi->PC,decrypt,188,300,112,0.682,0
19:21:13.327,15.1,RPi->PC,decrypt,188,300,112,2.105,0
19:21:18.304,20.1,RPi->PC,decrypt,188,300,112,0.645,0
19:21:23.327,25.1,RPi->PC,decrypt,188,300,112,0.699,0
19:21:23.738,25.5,RPi->PC,decrypt,188,300,112,0.603,0
19:21:33.305,35.1,RPi->PC,decrypt,183,292,109,1.83,0
19:21:48.196,50.0,RPi->PC,decrypt,184,296,112,0.613,0
19:21:53.211,55.0,RPi->PC,decrypt,184,296,112,1.336,0
19:22:03.215,65.0,RPi->PC,decrypt,183,292,109,1.988,0
19:22:08.242,70.0,RPi->PC,decrypt,183,292,109,2.463,0
19:22:13.226,75.0,RPi->PC,decrypt,184,296,112,0.611,0
19:22:18.216,80.0,RPi->PC,decrypt,198,312,114,0.709,0
19:22:23.223,85.0,RPi->PC,decrypt,183,292,109,1.709,0
19:22:28.251,90.0,RPi->PC,decrypt,184,296,112,1.245,0
19:22:33.218,95.0,RPi->PC,decrypt,183,292,109,1.704,0
19:22:38.257,100.1,RPi->PC,decrypt,183,292,109,1.573,0
19:22:48.226,110.0,RPi->PC,decrypt,183,292,109,1.214,0
19:22:58.254,120.1,RPi->PC,decrypt,183,292,109,1.867,0
19:23:03.252,125.0,RPi->PC,decrypt,184,296,112,1.885,0
19:23:13.249,135.0,RPi->PC,decrypt,183,292,109,1.719,0
19:23:18.250,140.0,RPi->PC,decrypt,184,296,112,1.68,0
19:23:28.266,150.1,RPi->PC,decrypt,183,292,109,2.125,0
19:23:33.277,155.1,RPi->PC,decrypt,184,296,112,2.164,0
19:23:43.295,165.1,RPi->PC,decrypt,183,292,109,0.733,0
19:23:48.457,170.3,RPi->PC,decrypt,184,296,112,0.705,0
19:23:53.279,175.1,RPi->PC,decrypt,184,296,112,2.164,0
19:24:04.290,186.1,RPi->PC,decrypt,184,296,112,2.309,0
19:24:08.284,190.1,RPi->PC,decrypt,183,292,109,1.822,0
19:24:38.300,220.1,RPi->PC,decrypt,183,292,109,0.594,0
19:24:58.306,240.1,RPi->PC,decrypt,183,292,109,1.381,0
19:25:03.311,245.1,RPi->PC,decrypt,184,296,112,2.553,0
19:25:13.471,255.3,RPi->PC,decrypt,184,296,112,0.602,0
19:25:18.305,260.1,RPi->PC,decrypt,184,296,112,0.619,0
19:25:23.324,265.1,RPi->PC,decrypt,184,296,112,1.366,0
19:25:28.417,270.2,RPi->PC,decrypt,183,292,109,1.767,0
19:25:38.343,280.1,RPi->PC,decrypt,184,296,112,0.953,0
19:25:48.379,290.2,RPi->PC,decrypt,184,296,112,1.685,0
19:26:03.340,305.1,RPi->PC,decrypt,183,292,109,0.672,0
19:26:18.348,320.1,RPi->PC,decrypt,184,296,112,0.623,0
19:26:28.425,330.2,RPi->PC,decrypt,183,292,109,0.655,0
19:26:33.357,335.2,RPi->PC,decrypt,184,296,112,1.583,0
19:26:38.347,340.1,RPi->PC,decrypt,183,292,109,0.792,0
19:26:48.372,350.2,RPi->PC,decrypt,183,292,109,0.94,0
19:27:03.376,365.2,RPi->PC,decrypt,198,312,114,2.068,0
19:27:08.407,370.2,RPi->PC,decrypt,183,292,109,0.769,0
19:27:23.383,385.2,RPi->PC,decrypt,186,296,110,1.27,0
19:27:28.378,390.2,RPi->PC,decrypt,184,296,112,2.311,0
19:27:38.468,400.3,RPi->PC,decrypt,184,296,112,1.293,0
19:27:43.396,405.2,RPi->PC,decrypt,183,292,109,0.7,0
19:27:48.407,410.2,RPi->PC,decrypt,183,292,109,0.551,0
19:27:53.401,415.2,RPi->PC,decrypt,183,292,109,0.654,0
19:27:58.433,420.2,RPi->PC,decrypt,183,292,109,1.746,0
19:28:08.415,430.2,RPi->PC,decrypt,184,296,112,1.85,0
19:28:13.413,435.2,RPi->PC,decrypt,183,292,109,2.024,0
19:28:18.510,440.3,RPi->PC,decrypt,184,296,112,1.812,0
19:28:23.427,445.2,RPi->PC,decrypt,183,292,109,0.876,0
19:28:28.423,450.2,RPi->PC,decrypt,186,296,110,0.62,0
19:28:43.651,465.4,RPi->PC,decrypt,184,296,112,0.653,0
19:28:48.443,470.2,RPi->PC,decrypt,198,312,114,0.925,0
19:28:58.548,480.3,RPi->PC,decrypt,184,296,112,1.734,0
19:29:03.446,485.2,RPi->PC,decrypt,183,292,109,0.761,0
19:29:08.448,490.2,RPi->PC,decrypt,184,296,112,0.775,0
19:29:13.442,495.2,RPi->PC,decrypt,183,292,109,0.822,0
19:29:23.530,505.3,RPi->PC,decrypt,184,296,112,0.596,0
19:29:28.457,510.3,RPi->PC,decrypt,183,292,109,0.569,0
19:29:33.483,515.3,RPi->PC,decrypt,184,296,112,1.784,0
19:29:38.460,520.3,RPi->PC,decrypt,184,296,112,1.653,0
19:29:43.585,525.4,RPi->PC,decrypt,183,292,109,0.783,0
19:29:48.536,530.3,RPi->PC,decrypt,183,292,109,3.023,0
19:29:53.584,535.4,RPi->PC,decrypt,197,312,115,6.542,0
